,Question,Chapter,Sub-chapters
7852,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

Determine the average force due to the air resistance acting on the shell as it moves from the cannon to its maximum height.

force = ....................................................... N [2]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7853,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The shell leaves the cannon at time t = 0 and reaches maximum height at time t = T.
On Fig. 2.1, sketch the variation with time t of the velocity v of the shell from time t = 0 to time t = T. Numerical values of v and t are not required.  [2]

(DIAGRAM)
",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7854,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The force due to the air resistance is a vector quantity.
Compare the force due to the air resistance acting on the shell as it rises with the force due to the air resistance as it falls.
.....................................................................................................................[2] ",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7876,"Sound waves are longitudinal waves. By reference to the direction of propagation of energy, state what is meant by a longitudinal wave.
..........................................................................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7877,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



State the phase difference between the vibrations of an air particle at x = 25cm and the vibrations of an air particle at x = 50cm.

phase difference = ....................................................... ° [1] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7878,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



The speed of the sound in the air is 330ms–1. Determine the frequency of the sound wave.

frequency = .................................................... Hz [3] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7879,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



Determine the ratio
               
(DIAGRAM)

ratio = ...........................................................[2] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7892,"State what is meant by kinetic energy.
.........................................................................................................................[1]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7893,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

Show that the mass of the shell is 0.15kg.  [2]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7894,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

For the movement of the shell from the cannon to its maximum height, calculate
1. the gain in gravitational potential energy,

    gain in gravitational potential energy = ........................................................ J [2]
2. the work done against air resistance.

    work done = ........................................................ J [1]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7895,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

Determine the average force due to the air resistance acting on the shell as it moves from the cannon to its maximum height.

force = ....................................................... N [2]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7896,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The shell leaves the cannon at time t = 0 and reaches maximum height at time t = T.
On Fig. 2.1, sketch the variation with time t of the velocity v of the shell from time t = 0 to time t = T. Numerical values of v and t are not required.  [2]

(DIAGRAM)
",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7897,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The force due to the air resistance is a vector quantity.
Compare the force due to the air resistance acting on the shell as it rises with the force due to the air resistance as it falls.
.....................................................................................................................[2] ",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7919,"Sound waves are longitudinal waves. By reference to the direction of propagation of energy, state what is meant by a longitudinal wave.
..........................................................................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7920,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



State the phase difference between the vibrations of an air particle at x = 25cm and the vibrations of an air particle at x = 50cm.

phase difference = ....................................................... ° [1] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7921,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



The speed of the sound in the air is 330ms–1. Determine the frequency of the sound wave.

frequency = .................................................... Hz [3] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7922,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



Determine the ratio
               
(DIAGRAM)

ratio = ...........................................................[2] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7935,"State what is meant by kinetic energy.
.........................................................................................................................[1]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7936,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

Show that the mass of the shell is 0.15kg.  [2]

",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7937,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

For the movement of the shell from the cannon to its maximum height, calculate
1. the gain in gravitational potential energy,

    gain in gravitational potential energy = ........................................................ J [2]
2. the work done against air resistance.

    work done = ........................................................ J [1]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7938,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

Determine the average force due to the air resistance acting on the shell as it moves from the cannon to its maximum height.

force = ....................................................... N [2]",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7939,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The shell leaves the cannon at time t = 0 and reaches maximum height at time t = T.
On Fig. 2.1, sketch the variation with time t of the velocity v of the shell from time t = 0 to time t = T. Numerical values of v and t are not required.  [2]

(DIAGRAM)
",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7940,"A cannon fires a shell vertically upwards. The shell leaves the cannon with a speed of 80ms–1 and a kinetic energy of 480J. The shell then rises to a maximum height of 210m. The effect of air resistance is significant.

The force due to the air resistance is a vector quantity.
Compare the force due to the air resistance acting on the shell as it rises with the force due to the air resistance as it falls.
.....................................................................................................................[2] ",10. D.C. circuits,"(AS) 9.3 Resistance and resistivity,  (AS) 10.3 Potential dividers"
7962,"Sound waves are longitudinal waves. By reference to the direction of propagation of energy, state what is meant by a longitudinal wave.
..........................................................................................................................[1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7963,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



State the phase difference between the vibrations of an air particle at x = 25cm and the vibrations of an air particle at x = 50cm.

phase difference = ....................................................... ° [1] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7964,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



The speed of the sound in the air is 330ms–1. Determine the frequency of the sound wave.

frequency = .................................................... Hz [3] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7965,"A stationary sound wave in air has amplitude A. In an experiment, a detector is used to
determine A2. The variation of A2 with distance x along the wave is shown in Fig. 4.1.

(DIAGRAM)



Determine the ratio
               
(DIAGRAM)

ratio = ...........................................................[2] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
7966,"Two capacitors P and Q, each of capacitance C, are connected in series with a battery of e.m.f. 9.0V, as shown in Fig. 6.1.

(DIAGRAM)

A switch S is used to connect either a third capacitor T, also of capacitance C, or a resistor R, in parallel with capacitor P.

Switch S is in position X.
Calculate

the combined capacitance, in terms of C, of the three capacitors,



capacitance = ......................................................... [2] 

",19. Capacitance,(A2) 19.1 Capacitors and capacitance
7967,"Two capacitors P and Q, each of capacitance C, are connected in series with a battery of e.m.f. 9.0V, as shown in Fig. 6.1.

(DIAGRAM)

A switch S is used to connect either a third capacitor T, also of capacitance C, or a resistor R, in parallel with capacitor P.

Switch S is in position X.
Calculate

the potential difference across capacitor Q. Explain your working.



potential difference = ..................................................... V [2]

",19. Capacitance,(A2) 19.1 Capacitors and capacitance
7968,"Two capacitors P and Q, each of capacitance C, are connected in series with a battery of e.m.f. 9.0V, as shown in Fig. 6.1.

(DIAGRAM)

A switch S is used to connect either a third capacitor T, also of capacitance C, or a resistor R, in parallel with capacitor P.

Switch S is now moved to position Y.
State what happens to the potential difference across capacitor P and across capacitor Q.

capacitor P: ..............................................................................................................................
...................................................................................................................................................
...................................................................................................................................................

capacitor Q: .............................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
[4]",19. Capacitance,(A2) 19.1 Capacitors and capacitance
7972,"A coaxial cable is frequently used to connect an aerial to a television receiver. Such a cable is illustrated in Fig. 4.1.

(DIAGRAM)


Suggest two functions of the copper braid.
1. .....................................................................................................................
2. ..................................................................................................................... [2]",26. Communication,(A2) 26.4 Relative merits of channels of communication
7973,"A coaxial cable is frequently used to connect an aerial to a television receiver. Such a cable is illustrated in Fig. 4.1.

(DIAGRAM)


Suggest two reasons why a wire pair is not usually used to connect the aerial to the receiver.
1. ...................................................................................................................
2. ................................................................................................................... [2]",26. Communication,(A2) 26.4 Relative merits of channels of communication
7974,"A coaxial cable is frequently used to connect an aerial to a television receiver. Such a cable is illustrated in Fig. 4.1.

(DIAGRAM)


The coaxial cable connecting an aerial to a receiver has length 14m.
The cable has an attenuation per unit length of 190dBkm−1.
Calculate the fractional loss in signal power during transmission of the signal along the cable.

fractional loss = ......................................................... [4]",26. Communication,(A2) 26.4 Relative merits of channels of communication
7982,"State

what may be deduced from the difference in the temperatures of two objects,

...........................................................................................................................................
..................................................................................................................................... [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7983,"State

the basic principle by which temperature is measured.

...........................................................................................................................................
..................................................................................................................................... [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7984,"By reference to your answer in (a)(ii), explain why two thermometers may not give the same temperature reading for an object.

...................................................................................................................................................
...................................................................................................................................................
............................................................................................................................................. [2]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7985,"A block of aluminium of mass 670g is heated at a constant rate of 95W for 6.0 minutes.
The specific heat capacity of aluminium is 910Jkg−1K−1.
The initial temperature of the block is 24°C.

Assuming that no thermal energy is lost to the surroundings, show that the final temperature of the block is 80°C. 




[3]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7986,"A block of aluminium of mass 670g is heated at a constant rate of 95W for 6.0 minutes.
The specific heat capacity of aluminium is 910Jkg−1K−1.
The initial temperature of the block is 24°C.

In practice, there are energy losses to the surroundings.
The actual variation with time t of the temperature θ of the block is shown in Fig. 1.1.

(DIAGRAM)



Use the information in (i) to draw, on Fig. 1.1, a line to represent the temperature of the block, assuming no energy losses to the surroundings. [1]



Using Fig. 1.1, calculate the total energy loss to the surroundings during the heating process. 







energy loss = ...................................................... J [2]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7987,"A block of aluminium of mass 670g is heated at a constant rate of 95W for 6.0 minutes.
The specific heat capacity of aluminium is 910Jkg−1K−1.
The initial temperature of the block is 24°C.

Use the information in (i) to draw, on Fig. 1.1, a line to represent the temperature of the block, assuming no energy losses to the surroundings. [1]


",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7988,"A block of aluminium of mass 670g is heated at a constant rate of 95W for 6.0 minutes.
The specific heat capacity of aluminium is 910Jkg−1K−1.
The initial temperature of the block is 24°C.

Using Fig. 1.1, calculate the total energy loss to the surroundings during the heating process. 







energy loss = ...................................................... J [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
7989,"The isotope iodine-131 (13153I) is radioactive with a decay constant of 8.6×10–2 day–1.
β– particles are emitted with a maximum energy of 0.61 MeV.

State what is meant by

radioactive,
....................................................................................................................[2] ",23. Nuclear physics,(A2) 23.2 Radioactive decay
7990,"The isotope iodine-131 (13153I) is radioactive with a decay constant of 8.6×10–2 day–1.
β– particles are emitted with a maximum energy of 0.61 MeV.

State what is meant by

decay constant.
....................................................................................................................[2]",23. Nuclear physics,(A2) 23.2 Radioactive decay
7991,"The isotope iodine-131 (13153I) is radioactive with a decay constant of 8.6×10–2 day–1.
β– particles are emitted with a maximum energy of 0.61 MeV.

Explain why the emitted β– particles have a range of energies.
...............................................................................................................................[2] ",23. Nuclear physics,(A2) 23.2 Radioactive decay
7992,"The isotope iodine-131 (13153I) is radioactive with a decay constant of 8.6×10–2 day–1.
β– particles are emitted with a maximum energy of 0.61 MeV.

A sample of blood contains 1.2×10–9 g of iodine-131.
 Determine, for this sample of blood,

the activity of the iodine-131,

activity = .................................................... Bq [3]",23. Nuclear physics,(A2) 23.2 Radioactive decay
7993,"The isotope iodine-131 (13153I) is radioactive with a decay constant of 8.6×10–2 day–1.
β– particles are emitted with a maximum energy of 0.61 MeV.

A sample of blood contains 1.2×10–9 g of iodine-131.
 Determine, for this sample of blood,

the time for the activity of the iodine-131 to be reduced to 1/50 of the activity calculated in (i).

time = ................................................. days [2]",23. Nuclear physics,(A2) 23.2 Radioactive decay
7994,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

On Fig. 11.1,

draw a circle around any diodes that conduct when the terminal X of the input is positive with respect to terminal Y,  [1]


",21. Alternating currents,(A2) 21.2 Rectification and smoothing
7995,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

On Fig. 11.1,

label the positive (+) and the negative (–) terminals of the output AB. [1]


",21. Alternating currents,(A2) 21.2 Rectification and smoothing
7996,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

The variation with time t of the potential difference V across the input XY is given by the expression
                                                        V = 5.6sin380t
where V is measured in volts and t is measured in seconds.
The variation with time t of the rectified potential difference across the resistor R is shown in Fig. 11.2.

(DIAGRAM)

Use the expression for the input potential difference V, or otherwise, to determine


the root-mean-square (r.m.s.) potential difference Vr.m.s. of the input,





Vr.m.s. = ...................................................... V [1]

",21. Alternating currents,(A2) 21.2 Rectification and smoothing
7997,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

The variation with time t of the potential difference V across the input XY is given by the expression
                                                        V = 5.6sin380t
where V is measured in volts and t is measured in seconds.
The variation with time t of the rectified potential difference across the resistor R is shown in Fig. 11.2.

(DIAGRAM)

Use the expression for the input potential difference V, or otherwise, to determine


the number of times per second that the rectified potential difference at the output reaches a peak value.






number = .......................................................... [2]

",21. Alternating currents,(A2) 21.2 Rectification and smoothing
7998,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

A capacitor is now connected between the terminals AB of the output.
The capacitor reduces the variation (the ripple) in the output to 1.6V.

On Fig. 11.2, sketch the variation with time t of the smoothed output voltage for time t = t1 to time t = t2.  [4]




",21. Alternating currents,(A2) 21.2 Rectification and smoothing
7999,"The circuit for a full-wave rectifier using four ideal diodes is shown in Fig. 11.1.

(DIAGRAM)

A resistor R is connected across the output AB of the rectifier.

A capacitor is now connected between the terminals AB of the output.
The capacitor reduces the variation (the ripple) in the output to 1.6V.

Suggest and explain the effect, if any, on the mean power dissipation in resistor R when the capacitor is connected between terminals AB.

...........................................................................................................................................
...........................................................................................................................................
.......................................................................................................................................[2]",21. Alternating currents,(A2) 21.2 Rectification and smoothing
8000,"A metal surface is illuminated with light of a single wavelength λ.
On Fig. 10.1, sketch the variation with λ of the maximum kinetic energy EMAX of the electrons
emitted from the surface.
On your graph mark, with the symbol λ0, the threshold wavelength.

(DIAGRAM)
[3]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
8001,"A neutron is moving in a straight line with momentum p.
The de Broglie wavelength associated with this neutron is λ.
On Fig. 10.2, sketch the variation with momentum p of the de Broglie wavelength λ.

(DIAGRAM)
[2]",11. Particle physics,"(AS) 11.1 Atoms, nuclei and radiation"
8006,"A thin slice of conducting material is placed normal to a uniform magnetic field, as shown in Fig. 8.1.

(DIAGRAM)

The magnetic field is normal to face CDEF and to face PQRS.
The current I in the slice is normal to the faces CDQP and FERS.
A potential difference, the Hall voltage VH, is developed across the slice.



State the faces between which the Hall voltage VH is developed.
...................................................... and ................................................. [1] ",20. Magnetic fields,(A2) 20.3 Force on a moving charge
8007,"A thin slice of conducting material is placed normal to a uniform magnetic field, as shown in Fig. 8.1.

(DIAGRAM)

The magnetic field is normal to face CDEF and to face PQRS.
The current I in the slice is normal to the faces CDQP and FERS.
A potential difference, the Hall voltage VH, is developed across the slice.



Explain why a constant voltage VH is developed between the faces you have named in (i).
....................................................................................................................[4]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
8008,"A thin slice of conducting material is placed normal to a uniform magnetic field, as shown in Fig. 8.1.

(DIAGRAM)

The magnetic field is normal to face CDEF and to face PQRS.
The current I in the slice is normal to the faces CDQP and FERS.
A potential difference, the Hall voltage VH, is developed across the slice.

Two slices have similar dimensions. One slice is made of a metal and the other slice is made of a semiconductor material.
For the same values of magnetic flux density and current, state which slice, if either, will give rise to the larger Hall voltage. Explain your reasoning.
...................................................................................................................[2]",20. Magnetic fields,(A2) 20.3 Force on a moving charge
8009,"Feedback is used frequently in amplifier circuits.
State

what is meant by feedback,
.......................................................................................................................[2] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8010,"Feedback is used frequently in amplifier circuits.
State

two benefits of negative feedback in an amplifier circuit.
1. ...........................................................................................................
2. ...........................................................................................................  [2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8011,"An amplifier circuit incorporating an ideal operational amplifier (op-amp) is used to amplify the output of a microphone. The circuit is shown in Fig. 7.1.

(DIAGRAM)

When the potential at point P is 48mV, the output potential difference VOUT is 3.6V


Determine
1. the gain of the amplifier circuit,

    gain = .......................................................... [2] 
2. the resistance of resistor R.

    resistance = ...................................................... Ω [2] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8012,"An amplifier circuit incorporating an ideal operational amplifier (op-amp) is used to amplify the output of a microphone. The circuit is shown in Fig. 7.1.

(DIAGRAM)

When the potential at point P is 48mV, the output potential difference VOUT is 3.6V


State and explain the effect on the amplifier output when the potential at P exceeds 68mV.
.................................................................................................................[2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8013,"For any point outside a spherical conductor, the charge on the sphere may be considered to act as a point charge at its centre. By reference to electric field lines, explain this.

...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
...............................................................................................................................................[2]

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8014,"An isolated spherical conductor has charge q, as shown in Fig. 6.1.

(DIAGRAM)
 Point P is a movable point that, at any one time, is a distance x from the centre of the sphere.
The variation with distance x of the electric potential V at point P due to the charge on the sphere is shown in Fig. 6.2.

(DIAGRAM)
 Use Fig. 6.2 to determine


the electric field strength E at point P where x = 6.0cm,




E = ................................................ NC–1 [3]

",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8015,"An isolated spherical conductor has charge q, as shown in Fig. 6.1.

(DIAGRAM)
 Point P is a movable point that, at any one time, is a distance x from the centre of the sphere.
The variation with distance x of the electric potential V at point P due to the charge on the sphere is shown in Fig. 6.2.

(DIAGRAM)
 Use Fig. 6.2 to determine


the radius R of the sphere. Explain your answer.



R = .................................................... cm [2] ",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8016,"The analogue signal from a microphone is to be transmitted in digital form.
The variation with time t of part of the signal from the microphone is shown in Fig. 5.1.

(DIAGRAM)

The microphone output is sampled at a frequency of 5.0kHz by an analogue-to-digital converter (ADC).
The output from the ADC is a series of 4-bit numbers. The smallest bit represents 1.0mV.
The first sample is taken at time t = 0.

Use Fig. 5.1 to complete Fig. 5.2.

(DIAGRAM)
[2]",26. Communication,(A2) 26.3 Digital communication
8017,"The analogue signal from a microphone is to be transmitted in digital form.
The variation with time t of part of the signal from the microphone is shown in Fig. 5.1.

(DIAGRAM)

The microphone output is sampled at a frequency of 5.0kHz by an analogue-to-digital converter (ADC).
The output from the ADC is a series of 4-bit numbers. The smallest bit represents 1.0mV.
The first sample is taken at time t = 0.

After transmission of the digital signal, it is converted back to an analogue signal using a digital-to-analogue converter (DAC).
Using data from Fig. 5.1, draw, on the axes of Fig. 5.3, the output level from the DAC for the transmitted signal from time t = 0 to time t = 1.2ms.

(DIAGRAM)
[4]",26. Communication,(A2) 26.3 Digital communication
8018,"The analogue signal from a microphone is to be transmitted in digital form.
The variation with time t of part of the signal from the microphone is shown in Fig. 5.1.

(DIAGRAM)

The microphone output is sampled at a frequency of 5.0kHz by an analogue-to-digital converter (ADC).
The output from the ADC is a series of 4-bit numbers. The smallest bit represents 1.0mV.
The first sample is taken at time t = 0.

It is usual in modern telecommunication systems for the ADC and the DAC to have more than four bits in each sample.
State and explain the effect on the transmitted analogue signal of such an increase.
........................................................................................................................[2] ",26. Communication,(A2) 26.3 Digital communication
8028,"State Newton's law of gravitation.
.......................................................................................................................................................................................
.......................................................................................................................................................................................[2]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8029,"The planet Jupiter and one of its moons, Io, may be considered to be uniform spheres that
are isolated in space.
Jupiter has radius R and mean density ρ.
Io has mass m and is in a circular orbit about Jupiter with radius nR, as illustrated in Fig. 1.1.

(DIAGRAM)

The time for Io to complete one orbit of Jupiter is T.
Show that the time T is related to the mean density ρ of Jupiter by the expression
          
(DIAGRAM)

where G is the gravitational constant.  [4]








",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8030,"

The radius R of Jupiter is 7.15×104 km and the distance between the centres of Jupiter and Io is 4.32×105 km.
The period T of the orbit of Io is 42.5 hours.
Calculate the mean density ρ of Jupiter.







ρ = ............................................... kgm–3 [3] ",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8031,"

The Earth has a mean density of 5.5×103 kgm–3. It is said to be a planet made of rock.
By reference to your answer in (i), comment on the possible composition of Jupiter.

......................................................................................................................[1]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8032,"A radiation detector is placed close to a radioactive source. The detector does not surround the source.
Radiation is emitted in all directions and, as a result, the activity of the source and the measured count rate are different.
Suggest two other reasons why the activity and the measured count rate may be different.

1. ..............................................................................................................................................
...................................................................................................................................................

2. ..............................................................................................................................................
...................................................................................................................................................
[2] 

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8033,"The variation with time t of the measured count rate in (a) is shown in Fig. 12.1.

(DIAGRAM)



State the feature of Fig. 12.1 that indicates the random nature of radioactive decay.

...........................................................................................................................................
................................................................................................................................... [1]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8034,"The variation with time t of the measured count rate in (a) is shown in Fig. 12.1.

(DIAGRAM)



Use Fig. 12.1 to determine the half-life of the radioactive isotope in the source.








half-life = ............................................... hours [4]

",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8035,"The readings in (b) were obtained at room temperature.
A second sample of this isotope is heated to a temperature of 500°C.
The initial count rate at time t = 0 is the same as that in (b).
The variation with time t of the measured count rate from the heated source is determined.

State, with a reason, the difference, if any, in

1. the half-life,
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................

2. the measured count rate for any specific time
...................................................................................................................................................
...................................................................................................................................................
...................................................................................................................................................
[3]",8. Superposition,"(AS) 7.2 Determination of frequency and wavelength of sound waves,  (AS) 8.3 Interference"
8036,"State what is meant by a photon.
.............................................................................................................................. [1]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8037,"Indium-123 (12349In) is radioactive.
A nucleus of indium-123 emits a γ-ray photon of energy 1.1MeV.
Determine, for this γ-radiation,

the frequency,

frequency = ................................................... Hz [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8038,"Indium-123 (12349In) is radioactive.
A nucleus of indium-123 emits a γ-ray photon of energy 1.1MeV.
Determine, for this γ-radiation,

the momentum of a photon.

momentum = ................................................... Ns [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
8039,"The indium-123 nucleus is stationary before emission of the γ-ray photon.
Use your answer in (b)(ii) to estimate the recoil speed of the nucleus after emission of the photon.

speed = ................................................ ms−1 [2]",2. Kinematics,"(AS) 1.2 SI units,  (AS) 1.5 Measurements,  (AS) 2.1 Equations of motion"
