,question,explanation,answer,index
1240,"A 12 V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2. ??  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.  Determine the potential difference across Y.  potential difference = ...................................... V [2]??",  V = 12RY /(RY + RZ) or I = 12/(RY + RZ) and V = IRY V = 12 ?? 2/3 ?? ??= 8(.0)V,V = 12RY /(RY + RZ) or I = 12/(RY + RZ) and V = IRY V = 12 ?? 2/3 ?? ??= 8(.0)V C1  A1 [2],"(394, 'c.iii')"
1241,"A 12 V battery with negligible internal resistance is connected to two resistors Y and Z, as shown in Fig. 6.2. ??  (DIAGRAM)  The resistors are made from wires of the same material. The wire of Y has a diameter d and length l. The wire of Z has a diameter 2d and length 2l.  Determine the ratio?? (DIAGRAM)   ratio = ............................................ [1]",  ratio = I2RY / I2RZ?? or?? (VY2 /RY)/(VZ2 /RZ) or (VYI)/(VZI)  = 2,ratio = I2RY / I2RZ or (VY2/RY)/(VZ2/RZ) or (VYI)/(VZI) ?? ?? ?? ?? = 2 A1 [1],"(394, 'c.iv')"
1242,Describe the Doppler effect. ....................................................................[1],observed frequency is different to source frequency when source moves relative to observer.,observed frequency is different to source frequency when source moves relative to observer B1,"(396, 'a')"
1243,"A car travels with a constant velocity along a straight road. The car horn with a frequency of 400 Hz is sounded continuously. A stationary observer on the roadside hears the sound from the horn at a frequency of 360 Hz. ?? The speed of sound is 340 ms-1.  Determine the magnitude v, and the direction, of the velocity of the car relative to the observer.  v = .......................................................m s? ?1 direction .................................................... [3]",360 = (400 ?? 340)? ?/? ?(340 ?? v)  v = 38 (37.8)? ?m s? ?1 direction is away from the observer,360 = (400 ?? 340) / (340 ?? v) C1 v = 38 (37.8) m s? ?1 A1 away (from the observer) B1,"(396, 'b')"
1244,State what is meant by the frequency of a progressive wave. ..........................................................................[2],"the number of oscillations per unit time??of a point on the wave, or the number of wavelengths/wavefronts per unit time??passing a fixed point.",the number of oscillations per unit time of the source/of a point on the wave/of a particle (in the medium) or the number of wavelengths/wavefronts per unit time passing a (fixed) point M1 A1  (M1) (A1) [2],"(397, 'a')"
1245,A cathode-ray oscilloscope (c.r.o.) is used to determine the frequency of the sound emitted by a loudspeaker. The trace produced on the screen of the c.r.o. is shown in Fig. 4.1.  (DIAGRAM)  The time-base setting of the c.r.o. is 250 ??s cm-1. ?? Show that the frequency of the sound wave is 1600 Hz. [2]  ,"T or period = 2.5 ?? 250 (??s) (= 625 ??s)  frequency = 1 / (6.25 ?? 0.0001) or 1 / (2.5 ?? 250 ?? 0.000,001 ) = 1600 Hz",T or period = 2.5 ?? 250 (??s) (= 625 ??s) frequency = 1/(6.25 ?? 10? ?4) or 1/(2.5 ?? 250 ?? 10? ?6) = 1600Hz M1 A1 [2],"(397, 'b')"
1246,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s? ?1.   Determine the speed of the loudspeaker.  speed = ................................................ m s? ?1 [2]",  for maximum frequency: fo = fsv /(v ? ? vs) 1640 = (1600 ?? 330) / (330 ? ? vs) vs = 8(.0) m s? ?1 (8.049 ms? ?1),for maximum frequency: fo = fsv /(v ? ? vs) 1640 = (1600 ?? 330) / (330 ? ? vs) vs = 8(.0)m s? ?1 (8.049 ms? ?1) C1 A1 [2],"(397, 'c.i')"
1247,"The loudspeaker in (b) emits the sound in all directions. A person attaches the loudspeaker to a string and then swings the loudspeaker at a constant speed in a horizontal circle above his head. An observer, standing a large distance away from the loudspeaker, hears sound of maximum frequency 1640 Hz. The speed of sound in air is 330 m s? ?1.   Describe and explain, qualitatively, the variation in the frequency of the sound heard by the observer. ......................................................................[2]",  loudspeaker moving towards observer causes rise in/higher frequency loudspeaker moving away from observer causes fall in/lower frequency or repeated rise and fall/higher and then lower frequency caused by loudspeaker moving towards and away from observer,loudspeaker moving towards observer causes rise in/higher frequency loudspeaker moving away from observer causes fall in/lower frequency or repeated rise and fall/higher and then lower frequency caused by loudspeaker moving towards and away from observer B1 B1  (M1) (A1) [2],"(397, 'c.ii')"
1248,State what is meant by the Avogadro constant NA. ..................................................................................[2],number of atoms of carbon-12 in 0.012 kg of carbon-12,number of atoms of carbon-12?? in 0.012kg of carbon-12 M1 A1 [2],"(399, 'a')"
1249,A balloon is filled with helium gas at a pressure of 1.1 ?? 105 Pa and a temperature of 25 ???. The balloon has a volune of 6.5 ?? 104 cm3. Helium may be assumed to be an ideal gas. Determine the number of gas atoms in the balloon.  number = ................................................ [4],pV = NkT or pV = bRT substitutes temperature as 298k either ??1.1 ?? 105 ?? 6.5 ?? 10-2 = N ?? 1.38 ?? 10-23 ?? 298 or ?? ?? 1.1 ?? 105 ?? 10-2 = n ?? 8.31 ?? 298 and n = N / 6.02 ??1023 N = 1.7 ?? 1024,pV = NkT or pV = nRT substitutes temperature as 298K either?? 1.1 ?? 105???? 6.5 ?? 10? ?2 = N ?? 1.38 ?? 10? ?23 ?? 298 or?? 1.1 ?? 105???? 6.5 ?? 10? ?2 = n ?? 8.31 ?? 298 and n = N / 6.02 ?? 1023 N = 1.7 ?? 1024 C1 C1  C1 A1 [4],"(399, 'b')"
1250,State one difference between a hadron and a lepton. ........................................................................[1],"hadron not a fundamental particle, lepton is fundamental particle, or hadron made of quarks but lepton not made of quarks, or strong force/interaction acts on hadrons/does not act on leptons B1",hadron not a fundamental particle/lepton is fundamental particle or hadron made of quarks/lepton not made of quarks or strong force/interaction acts on hadrons/does not act on leptons B1 [1],"(400, 'a')"
1251,  State the quark composition of a proton and of a neutron. proton: .............................................................. neutron: ............................................................ [2],"  proton: up, up, down / uud?? neutron: up, down, down / udd??","proton: up, up, down / uud neutron: up, down, down / udd B1 B1 [2]","(400, 'b.i')"
1252,  Use your answer in (i) to determine the quark composition of an ??-particle.   quark composition: ...................................................[1],"  composition: 2(uud) + 2(udd) = 6 up, 6 down / 6u, 6d??","composition: 2(uud) + 2(udd) ?? = 6 up, 6 down / 6u, 6d B1 [1]","(400, 'b.ii')"
1253,"The results of the ??-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of ??-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of ??-particles are scattered through angles greater than 90??. State what may be inferred from  result 1, ......................................................................[1]","  most of the atom is empty space, or??the nucleus (volume) is (very) small compared to the atom",most of the atom is empty space or the nucleus (volume) is (very) small compared to the atom B1 [1],"(400, 'c.i')"
1254,The results of the ??-particle scattering experiment provide evidence for the structure of the atom. result 1: The vast majority of ??-particles pass straight through the metal foil or are deviated by small angles. result 2: A very small minority of ??-particles are scattered through angles greater than 90??. State what may be inferred from  result 2. ......................................................................[2],  nucleus is (positively) charged?? the mass is concentrated in (very small) nucleus/small region/small??volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small??core.,nucleus is (positively) charged the mass is concentrated in (very small) nucleus/small region/small volume/small core or the majority of mass in (very small) nucleus/small region/small volume/small core B1   B1 [2],"(400, 'c.ii')"
1255,"A capacitor consists of two metal plates separated by an insulator, as shown in Fig. 3.1.  (DIAGRAM)  The potential difference between the plates is V. The variation with V of the magnitude of the charge Q on one plate is shown in Fig. 3.2.  (DIAGRAM)Explain why the capacitor stores energy but not charge. ............................................................................... [3]","Since in a capacitor, there are equal and opposite charges, so net charge becomes zero but energy is stored due to charge separation.",charges on plates are equal and opposite so no resultant charge energy stored because there is charge separation M1 A1 B1 [3],"(402, 'a')"
1256,"A capacitor consists of two metal plates separated by an insulator, as shown in Fig. 3.1.  (DIAGRAM)  The potential difference between the plates is V. The variation with V of the magnitude of the charge Q on one plate is shown in Fig. 3.2.  (DIAGRAM)Use Fig.3.2 (next page) to determine  the capacitance of the capacitor,  capacitance = .......................................... ??F [2]??",  C = Gradient of charge against voltage graph ???? (DIAGRAM) ,capacitance = Q / V ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? = (18 ?? 10? ?3) / 10 ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? = 1800 ??F C1  C1 [2],"(402, 'b.i')"
1257,"A capacitor consists of two metal plates separated by an insulator, as shown in Fig. 3.1.  (DIAGRAM)  The potential difference between the plates is V. The variation with V of the magnitude of the charge Q on one plate is shown in Fig. 3.2.  (DIAGRAM)Use Fig.3.2 (next page) to determine  the loss in energy stored in the capacitor when the potential difference V is reduced from 10.0 V to 7.5 V.  energy = ......................................... mJ [2]",  E = Area of graph along with charge axis between 7.5V to 10.0V ?? ??=????[(18 + 13.5)10-3] (2.5) = 39 mJ,use of area under graph or energy = ??CV2 energy = 2.5 ?? 15.7 ?? 10? ?3 or energy = ?? ?? 1800 ?? 10? ?6 ?? (102 ? ? 7.52) ?? ?? ?? ?? ?? ?? = 39mJ C1  A1 [2],"(402, 'b.ii')"
1258,"A capacitor consists of two metal plates separated by an insulator, as shown in Fig. 3.1.  (DIAGRAM)  The potential difference between the plates is V. The variation with V of the magnitude of the charge Q on one plate is shown in Fig. 3.2.  (DIAGRAM)Three capacitors X, Y and Z, each of capacitance 10 ??F, are connected as shown in Fig. 3.3.  (DIAGRAM)  Initially, the capacitors are uncharged. A potential difference of 12 V is applied between points A and B. Determine the magnitude of the charge on one plate of capacitor X.  charge = ......................................... ??C [3]"," Combined capacitance of Y and Z = CY + Cz CYZ = 10 +10 = 20????F effective capacitance,  (DIAGRAM)  Q = CV = (6.67 ?? 10-6)(12) = 80 ??C ",combined capacitance of Y & Z = 20??F or total capacitance = 6.67??F p.d. across capacitor X = 8V or?? p.d. across combination = 12V charge = 10 ?? 10? ?6 ?? 8 or 6.67 ?? 10? ?6 ?? 12 ?? ?? ?? ?? ?? ?? = 80??C C1 C1  A1 [3],"(402, 'c')"
1259,"Optic fibre transmission has, in some instances, replaced transmission using coaxial cables and wire pairs. Optic fibres have negligible cross-talk and are less noisy than co-axial cables. Explain what is meant by  cross-talk, ..............................................................................[2]",  cross-talk: Picking-up of signal in one cable from a second nearby cable is called cross-talk.,picking up of signal in one cable from a second (nearby) cable M1 A1 [2],"(405, 'a.i')"
1260,"Optic fibre transmission has, in some instances, replaced transmission using coaxial cables and wire pairs. Optic fibres have negligible cross-talk and are less noisy than co-axial cables. Explain what is meant by  noise. ..............................................................................[2]",  noise: It is an unwanted power that adds itself in a random manner to the signal and causes distortion of the signal.,random (unwanted) signal / power that masks / added to / interferes with / distorts transmitted signal?? (allow this mark in (i) or (ii)) B1 B1   [2],"(405, 'a.ii')"
1261,An optic fibre has a signal attenuation of 0.20 dB km? ?1. The input signal to the optic fibre has a power of 26 mW. The receiver at the output of the fibre has a noise power of 6.5 ??W. Calculate the maximum uninterrupted length of optic fibre given that the signal-to-noise ratio at the receiver must not be less than 30 dB.  length = ........................................... km [5], (DIAGRAM)   (DIAGRAM) ,"if P is power at receiver, 30 = 10lg(P / (6.5 ?? 10? ?6) P = 6.5 ?? 10? ?3 W loss along cable = 10lg({26 ?? 10? ?3} / {6.5 ?? 10? ?3}) ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ??= 6.0 dB length = 6.0 / 0.2 = 30 km  C1 C1 C1 C1 A1 [5]","(405, 'b')"
1262,Wire pairs used for the transmission of telephone signals are subject to crosslinking.  Explain what is meant by cross-linking. ....................................................................[1],  Signal of one wire is picked up by a neighboring wire.,signal in one wire (pair) is picked up by a neighbouring wire (pair) B1 [1],"(406, 'a.i')"
1263,Wire pairs used for the transmission of telephone signals are subject to crosslinking.  Suggest why cross-linking in coaxial cables is much less than in wire pairs. ....................................................................[2],  The outer conductor of coaxial cable is connected to earth and shields the inner core from external interference.,outer of coaxial cable is earthed outer shields the core from noise/external signals B1 B1 [2],"(406, 'a.ii')"
1264,"A wire pair has a length of 1.4 km and is connected to a receiver, as illustrated in Fig. 12.1.  (DIAGRAM)  The constant noise power in the wire pair is 3.8 ?? 10? ?8 W. For an input signal to the wire pair of 3.0 ?? 10? ?3 W, the signal-to-noise ratio at the receiver is 25 dB. Calculate the attenuation per unit length for the wire pair.  attenuation per unit length = ........................... dB km? ?1 [4]",  (DIAGRAM)   (DIAGRAM)  ,attenuation per unit length = 1/L ?? 10 lg(P2/P1) signal power at receiver = 102.5 ?? 3.8 ?? 10? ?8?? ?? = 1.2 ?? 10? ?5W attenuation in wire pair = 10lg({3.0 ?? 10? ?3}/{1.2 ?? 10? ?5}) ?? = 24dB attenuation per unit length = 24/1.4 ?? = 17 dBkm? ?1 (other correct methods of calculation are possible) C1  C1  C1  A1   [4],"(406, 'b')"
1265,Two metal spheres are in thermal equilibrium. State and explain what is meant by thermal equilibrium. ........................................................................[2],Temperature of both spheres is same and there is no net transfer of energy in between??them.,temperature of the spheres is the same no (net) transfer of energy between the spheres B1 B1 [2],"(407, 'a')"
1266,"An electric water heater contains a tube through which water flows at a constant??rate. The water in the tube passes over a heating coil, as shown in Fig. 3.1.  (DIAGRAM)  The water flows into the tube at a temperature of 18??C. When the power of the??heater is 3.8 kW, the temperature of the water at the outlet is 42??C. The specific heat capacity of water is 4.2 J g? ?1 K? ?1.   Use the data to calculate the flow rate, in g s-1, of water through the tube.  flow rate = ........................................ g s? ?1 [3]",   (DIAGRAM) ,power = m ?? c ?? ????? where m is mass per second 3800 = m ?? 4.2 ?? (42 ? ? 18) m = 38g s? ?1 C1 C1 A1 [3],"(407, 'b.i')"
1267,"An electric water heater contains a tube through which water flows at a constant??rate. The water in the tube passes over a heating coil, as shown in Fig. 3.1.  (DIAGRAM)  The water flows into the tube at a temperature of 18??C. When the power of the??heater is 3.8 kW, the temperature of the water at the outlet is 42??C. The specific heat capacity of water is 4.2 J g? ?1 K? ?1.   State and explain whether your answer in (i) is likely to be an overestimate??or an underestimate of the flow rate. .................................................................[2]","  Overestimate, because some energy is also lost to the surroundings which is not??taken into account.",some thermal energy is lost to the surroundings so rate is an overestimate M1 A1 [2],"(407, 'b.ii')"
1268,"The resistance of a thermistor at 0 ??? is 3840 ???. At 100 ??? the resistance is??190?????. When the thermistor is placed in water at a particular constant temperature, its??resistance is 2300 ???.   Assuming that the resistance of the thermistor varies linearly with temperature,??calculate the temperature of the water.  temperature = ......................................... ??C [2]",   (DIAGRAM) ,"1 deg C corresponds to (3840 ? ? 190) / 100 ??? for resistance 2300 ???, temperature is 100 ?? (2300 ? ? 3840) / (190 ? ? 3840) temperature is 42??C C1  A1 [2]","(409, 'a.i')"
1269,"The resistance of a thermistor at 0 ??? is 3840 ???. At 100 ??? the resistance is??190?????. When the thermistor is placed in water at a particular constant temperature, its??resistance is 2300 ???.   The temperature of the water, as measured on the thermodynamic scale of??temperature, is 286 K. By reference to what is meant by the thermodynamic scale of temperature,??comment on your answer in (i). ......................................................................... [3]","  T = 42.2 + 273.15 = 315 K, thermodynamic scale is a theoretical scale which does??not depend upon any empirical property which varies with temperature, so the??change in resistance of thermistor with temperature is non-linear.",either?? 286 K ??? 13??C or?? 42??C ??? 315 K thermodynamic scale does not depend on the property of a substance so change in resistance (of thermistor) with temperature is non-linear B1 M1 A1 [3],"(409, 'a.ii')"
1270,"A polystyrene cup contains a mass of 95 g of water at 28 ??C. A cube of ice of mass 12 g is put into the water. Initially, the ice is at 0 ??C. The water, of specific heat capacity 4.2 ?? 103 J kg? ?1 K? ?1, is stirred until all the ice melts. Assuming that the cup has negligible mass and that there is no heat exchange with the atmosphere, calculate the final temperature of the water. The specific latent heat of fusion of ice is 3.3 ?? 105 J kg? ?1.  temperature = ......................................... ??C [4]"," By the Principle of conservation of energy,  (DIAGRAM)  ",heat gained by ice in melting = 0.012 ?? 3.3 ?? 105??J = 3960 J heat lost by water = 0.095 ?? 4.2 ?? 103 ?? (28 ? ? ??) 3960 + (0.012 ?? 4.2 ?? 103 ?? ??) = 0.095 ?? 4.2 ?? 103 ?? (28 ? ? ??) ?? = 16??C (answer 18??C ? ? melted ice omitted ? ? allow max 2 marks) (use of (?? ? ? T) then allow max 1 mark) C1  C1 C1 A1    [4],"(409, 'b')"
1271,Define gravitational field strength.  .......................................................................................................................................... ......................................................................................................................................[1]  ,Gravitational force per unit mass is called gravitational field strength.,force per unit mass?? ??(ratio idea essential) B1 [1],"(410, 'a')"
1272,"An isolated star has radius R. The mass of the star may be considered to be a point mass at the centre of the star.   The gravitational field strength at the surface of the star is gs.  On Fig. 1.1, sketch a graph to show the variation of the gravitational field strength of the star with distance from its centre. You should consider distances in the range R to 4R.   (DIAGRAM) [2]  ", (DIAGRAM) ,"graph: correct curvature ?? from (R,1.0gS) & at least one other correct point M1 A1 [2]","(410, 'b')"
1273,"The Earth and the Moon may be considered to be spheres that are isolated in space with their masses concentrated at their centres.   The masses of the Earth and the Moon are 6.00??1024 kg and 7.40??1022 kg respectively.   The radius of the Earth is RE and the separation of the centres of the Earth and the Moon is 60 RE, as illustrated in Fig. 1.2.  (DIAGRAM)    Explain why there is a point between the Earth and the Moon at which the gravitational field strength is zero.  .................................................................................................................................. .................................................................................................................................. ..............................................................................................................................[2]  ",  Since gravitational fields of Earth and Moon are equal in magnitude and opposite in direction. So resultant field is zero at a point in between them.,fields of Earth and Moon are in opposite directions either resultant field found by subtraction of the field strength or any other sensible comment so there is a point where it is zero (allow FE = ? ?FM for 2 marks) M1  A1 A0   [2],"(410, 'c.i')"
1274,"The Earth and the Moon may be considered to be spheres that are isolated in space with their masses concentrated at their centres.   The masses of the Earth and the Moon are 6.00??1024 kg and 7.40??1022 kg respectively.   The radius of the Earth is RE and the separation of the centres of the Earth and the Moon is 60 RE, as illustrated in Fig. 1.2.  (DIAGRAM)    Determine the distance, in terms of RE, from the centre of the Earth at which the gravitational field strength is zero.        distance = ...........................................RE [3]  ",  Let the distance from centre of Earth where the Gravitational field strength is zero be x.,GME / x2 = GMM / (D ? ? x)2 (6.0 ?? 1024) / (7.4 ?? 1022) = x2 / (60RE ? ? x)2 x = 54RE C1 C1 A1 [3],"(410, 'c.ii')"
1275,"The Earth and the Moon may be considered to be spheres that are isolated in space with their masses concentrated at their centres.   The masses of the Earth and the Moon are 6.00??1024 kg and 7.40??1022 kg respectively.   The radius of the Earth is RE and the separation of the centres of the Earth and the Moon is 60 RE, as illustrated in Fig. 1.2.  (DIAGRAM)    On the axes of Fig. 1.3, sketch a graph to show the variation of the gravitational field strength with position between the surface of the Earth and the surface of the Moon.??  (DIAGRAM) [3]",   (DIAGRAM) ,graph: g = 0 at least ??? distance to Moon ?? gE and gM in opposite directions ?? correct curvature (by eye) and gE > gM at surface B1 M1 A1 [3],"(410, 'c.iii')"
1276,Define gravitational potential at a point. .............................................................................. [2],Amount of work done to bring a unit mass from infinity upto a point in the gravitational field.,work done moving unit mass from infinity to the point M1 A1 [2],"(411, 'a')"
1277,"The Earth may be considered to be an isolated sphere of radius R with its mass concentrated at its centre.  The variation of the gravitational potential ?? with distance x from the centre of the Earth is shown in Fig. 1.1.  (DIAGRAM)  The radius R of the Earth is 6.4 ?? 106 m.   By considering the gravitational potential at the Earth's surface, determine a value for the mass of the Earth.  mass = ......................................... kg [3]",   (DIAGRAM) ,"at R, ?? = 6.3 ?? 107 J kg? ?1 (allow ?? 0.1 ?? 107)?? ?? = GM / R 6.3 ?? 107??= (6.67 ?? 10? ?11 ?? M) / (6.4 ?? 106)?? M = 6.0 ?? 1024 kg (allow 5.95 ??? 6.14)?? Maximum of 2/3 for any value chosen for ?? not at R B1  C1 A1   [3]","(411, 'b.i')"
1278,The Earth may be considered to be an isolated sphere of radius R with its mass concentrated at its centre.  The variation of the gravitational potential ?? with distance x from the centre of the Earth is shown in Fig. 1.1.  (DIAGRAM)  The radius R of the Earth is 6.4 ?? 106 m.   A meteorite is at rest at infinity. The meteorite travels from infinity towards the Earth. Calculate the speed of the meteorite when it is at a distance of 2R above the Earth's surface. Explain your working.  speed = ..................................... m s? ?1 [4],"  By Principle of conservation of energy,  (DIAGRAM) ","change in potential = 2.1 ?? 107 J kg? ?1 (allow ?? 0.1 ?? 107) loss in potential energy = gain in kinetic energy ?? mv2 = ?? m or ?? mv2??= GM / 3R?? ?? v2 = 2.1 ?? 107 v = 6.5 ?? 103 m s? ?1 ? ?? ?? ?..? ?? ?(allow 6.3 ??? 6.6) (answer 7.9 ?? 103??m s? ?1, based on x = 2R, allow max 3 marks) C1 B1 C1  A1   [4]","(411, 'b.ii')"
1279,"The Earth may be considered to be an isolated sphere of radius R with its mass concentrated at its centre.  The variation of the gravitational potential ?? with distance x from the centre of the Earth is shown in Fig. 1.1.  (DIAGRAM)  The radius R of the Earth is 6.4 ?? 106 m.   In practice, the Earth is not an isolated sphere because it is orbited by the Moon, as illustrated in Fig. 1.2.  (DIAGRAM)  The initial path of the meteorite is also shown.  Suggest two changes to the motion of the meteorite caused by the Moon. 1. ........................................................................... 2. ........................................................................... [2]",  1. The velocity of the meteorite will increase. 2. The meteorite deviates from its straight line path.,"e.g. speed / velocity / acceleration would be greater deviates / bends from straight path (any sensible ideas, 1 each, max 2) B1 B1   [2]","(411, 'b.iii')"
1280,State Newton's first law. .............................................................................[1],A body continues in a state of rest or of uniform motion in a straight line unless acted??upon by some external resultant force.,A body continues at rest or constant velocity unless acted on by a resultant ??(external) force B1 [1],"(412, 'a')"
1281,"A log of mass 450 kg is pulled up a slope by a wire attached to a motor, as shown in Fig. 3.1.  (DIAGRAM)  The angle that the slope makes with the horizontal is 12??. The frictional force acting??on the log is 650 N. The log travels with constant velocity.   With reference to the motion of the log, discuss whether the log is in equilibrium. ..........................................................................[2]",  Since the log moves with uniform velocity so acceleration or resultant force is??zero. Also there is no moment due to zero resultant force. Therefore log is in??equilibrium.,constant velocity/zero acceleration and therefore no resultant force no resultant force (and no resultant torque) hence in equilibrium M1 A1 [2],"(412, 'b.i')"
1282,"A log of mass 450 kg is pulled up a slope by a wire attached to a motor, as shown in Fig. 3.1.  (DIAGRAM)  The angle that the slope makes with the horizontal is 12??. The frictional force acting??on the log is 650 N. The log travels with constant velocity.   Calculate the tension in the wire.   ",  Tension = frictional force + component of weight along inclined plane T= f + mg sin?? ?? ??= 650 + (450)(9.81)sin12?? ?? ??= 1.57 ????103 N  (DIAGRAM) ,component of weight = 450 ?? 9.81 ?? sin 12?? (= 917.8) tension = 650 + 450 g sin12?? = (650 + 917.8) ?? ?? ?? ?? ?? ?? ??= 1600 (1570)N C1 C1 A1 [3],"(412, 'b.ii')"
1283,"A log of mass 450 kg is pulled up a slope by a wire attached to a motor, as shown in Fig. 3.1.  (DIAGRAM)  The angle that the slope makes with the horizontal is 12??. The frictional force acting??on the log is 650 N. The log travels with constant velocity.   State and explain whether the gain in the potential energy per unit time of the??log is equal to the output power of the motor. ..........................................................................[2]","  Work is also done against frictional force between log and slope, so output power??is greater than the gain in potential energy.",work done against frictional force or friction between log and slope output power greater than the gain in PE / s M1 A1 [2],"(412, 'b.iii')"
1284,Explain what is meant by a geostationary orbit. .................................................................................... [3],Equatorial path at a fixed distance from center of earth along which geostationary satellite revolve in the same direction and rate (24 hours) as that of spinning of earth.,equatorial orbit / above equator satellite moves from west to east / same direction as Earth spins period is 24 hours / same period as spinning of Earth (allow 1 mark for 'appears to be stationary/overhead' if none of above marks scored) B1 B1 B1 [3],"(414, 'a')"
1285,A satellite of mass m is in a circular orbit about a planet. The mass M of the planet may be considered to be concentrated at its centre. Show that the radius R of the orbit of the satellite is given by the expression ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? ?? (DIAGRAM)  where T is the period of the orbit of the satellite and G is the gravitational constant. Explain your working. [4]  ,Gravitational pull of planet provides centripetal force to satellite.  (DIAGRAM) ,gravitational force provides/is the centripetal force GMm/R2 = mR??2 or GMm/R2 = mv2/R ?? = 2?  /T or v = 2? R / T or clear substitution clear working to give R3 = (GMT2 / 4? 2) B1 M1 M1 A1 [4],"(414, 'b')"
1286,The Earth has mass 6.0 ?? 1024 kg. Use the expression given in (b) to determine the radius of the geostationary orbit about the Earth.  radius = ............................................. m [3], (DIAGRAM) ,R3 = 6.67 ?? 10? ?11 ?? 6.0 ?? 1024 ?? (24 ?? 3600)2 / 4? 2 ?? ?? ??= 7.57 ?? 1022 R = 4.2 ?? 107??m (missing out 3600 gives 1.8 ?? 105??m and scores 2/3 marks) C1 C1 A1 [3],"(414, 'c')"
1287,State what is meant by a field of force. ........................................................................... [1],Region or space around an object or a charge where another object or charge experience a force.,region (of space) where a particle / body experiences a force B1 [1],"(418, 'a')"
1288,Gravitational fields and electric fields are two examples of fields of force. State one similarity and one difference between these two fields of force. similarity: ............................................................. similarity: ............................................................. [3],similarity: Both follow the inverse-square law of force i.e.?? (DIAGRAM)  difference: Gravitational force is always attractive while elastic force is either attractive or repulsive.,similarity: e.g. force ??? 1 / r2 ?? ?? ?? ?? ?? ?? ?? ?? potential ??? 1 / r B1 [1] difference: e.g. gravitation force (always) attractive ?? ?? ?? ?? ??electric force attractive or repulsive B1 B1 [2],"(418, 'b')"
1289,Two protons are isolated in space. Their centres are separated by a distance R. Each proton may be considered to be a point mass with point charge. Determine the magnitude of the ratio (DIAGRAM)   ratio = ............................................... [3], (DIAGRAM) ,either?? ratio is Q1Q2 / 4? ??0m1m2G ??= (1.6 ?? 10? ?19)2 / 4?  ?? 8.85 ?? 10? ?12 ?? (1.67 ?? 10? ?27)2???? 6.67 ?? 10? ?11 ??= 1.2 ?? 1036 C1 C1 A1 [3] or?? FE = 2.30 ?? 10? ?28 ?? R? ?2 (C1) ?? ??FG = 1.86 ?? 10? ?64 ?? R? ?2 (C1) ?? ??FE / FG = 1.2 ?? 1036 (A1) ??,"(418, 'c')"
1290,Suggest why attenuation of a signal in channels of communication is usually measured on a logarithmic rather than a linear scale. ....................................................................[1],Logarithm provides a smaller number i.e. the logarithm of a very large value is a small number.,"e.g. logarithm provides a smaller number ?? e.g. gain of amplifiers is series found by addition, (not multiplication) (any sensible suggestion)?? B1 [1]","(419, 'a')"
1291,"For a particular channel of communication having low attenuation, the input power is 6.5 mW and the attenuation per unit length is 1.8 dB km-1.  Suggest the name of this channel of communication. ....................................................................[1]",  Optic fibre,optic fibre B1 [1],"(419, 'b.i')"
1292,"For a particular channel of communication having low attenuation, the input power is 6.5 mW and the attenuation per unit length is 1.8 dB km-1.  Calculate the distance over which the power of the signal is reduced to 1.5 ?? 10-15 W.  distance = ........................................... km [3]",   (DIAGRAM) ,attenuation/dB = 10 lg(P2/P1) ??= 10 lg({6.5 ?? 10? ?3}/{1.5 ?? 10? ?15}) ??= 126 length = 126 / 1.8 ?? = 70 km C1 C1   A1 [3],"(419, 'b.ii')"
1293,Wire pairs used for the transmission of telephone signals are subject to crosslinking.  Explain what is meant by cross-linking. ....................................................................[1],  Signal of one wire is picked up by a neighboring wire.,signal in one wire (pair) is picked up by a neighbouring wire (pair) B1 [1],"(422, 'a.i')"
1294,Wire pairs used for the transmission of telephone signals are subject to crosslinking.  Suggest why cross-linking in coaxial cables is much less than in wire pairs. ....................................................................[2],  The outer conductor of coaxial cable is connected to earth and shields the inner core from external interference.,outer of coaxial cable is earthed outer shields the core from noise/external signals B1 B1 [2],"(422, 'a.ii')"
