,question,answer,index
3118,Fig. 2.1 shows a wooden trolley of mass 1.2kg at rest on the rough surface of a bench.  (DIAGRAM)  A ball of mass 0.52g travels horizontally towards the trolley. The ball embeds itself in the wood of the trolley. The trolley moves with an initial speed of 0.065m/s.  Calculate:   the speed of the ball as it hits the trolley.    speed = ......................................................... [2]  ,150 m / s A2 vb = (mt + vt) / mb in any form or initial momentum = final momentum or 1.2(0052) × 0.065 / 0.00052 or 0.078(0338) / 0.00052 C1,"(0, 'a.ii')"
3119,"Fig. 2.1 shows a wooden trolley of mass 1.2kg at rest on the rough surface of a bench.  (DIAGRAM)  A ball of mass 0.52g travels horizontally towards the trolley. The ball embeds itself in the wood of the trolley. The trolley moves with an initial speed of 0.065m/s.  As the trolley moves across the rough surface, it slows down and stops. Explain, in terms of the work done, the energy change that takes place as the trolley slows down. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3] ",work done against / due to / because of friction or kinetic energy (of trolley) used to do work B1 kinetic energy decreases (to zero)  B1 thermal energy produced  B1,"(0, 'b')"
3120,"A skydiver of mass 76kg is falling vertically in still air. At time t = 0, the skydiver opens his parachute. Fig. 1.1 is the speed–time graph for the skydiver from t = 0.  (DIAGRAM)   Using Fig. 1.1, determine:   the deceleration of the skydiver immediately after the parachute opens   deceleration = ......................................................... [2]",any value from 35 to 43 m / s2 A2 (a =) (v – u) / t in any form or gradient (of line) or (58 – 50) / 0.20 or equivalent values from the graph  C1,"(1, 'a.i')"
3121,"A skydiver of mass 76kg is falling vertically in still air. At time t = 0, the skydiver opens his parachute. Fig. 1.1 is the speed–time graph for the skydiver from t = 0.  (DIAGRAM)   Using Fig. 1.1, determine:   the force due to air resistance acting on the skydiver immediately after the parachute opens.   force = ......................................................... [3]  ",3800 N A3 (F =) ma in any form or Δp / Δt in any form or 76 × candidate's 1(a)(i)  or 760 seen C1 76 × candidate's 1(a)(i) evaluated or 76 × (candidate’s 1(a)(i) + 10) or 76 × (candidate's 1(a)(i))+ 760 C1,"(1, 'a.ii')"
3122,"A skydiver of mass 76kg is falling vertically in still air. At time t = 0, the skydiver opens his parachute. Fig. 1.1 is the speed–time graph for the skydiver from t = 0.  (DIAGRAM)   Explain, in terms of the forces acting on the skydiver, his motion between t = 0 and t = 6.0s. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3]  ",(deceleration because) upward force greater than weight or upward resultant force  B1 air resistance decreases (with decreasing speed / with time)  or deceleration decreases or resultant (upward) force decreases B1 (until / finally) weight equals air resistance or forces balance or at terminal / constant velocity / speed  B1,"(1, 'b')"
3123,"A skydiver of mass 76kg is falling vertically in still air. At time t = 0, the skydiver opens his parachute. Fig. 1.1 is the speed–time graph for the skydiver from t = 0.  (DIAGRAM)   Explain why opening the parachute cannot reduce the speed of the skydiver to zero. ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]",at zero speed there is no air resistance B1 weight / downwards force is (still) acting or there is (now) a resultant force (downwards at zero speed)  B1 OR  forces balance at a speed greater than zero  (B1) speed cannot decrease / no deceleration once forces balance (B1),"(1, 'c')"
3124,A nucleus of nitrogen-13 has the nuclide notation:  (DIAGRAM) . Determine:   the number of protons in one nucleus of nitrogen-13 ............................................. [1],7 B1,"(2, 'a.i')"
3125,A nucleus of nitrogen-13 has the nuclide notation:  (DIAGRAM) . Determine:   the number of neutrons in one nucleus of nitrogen-13 ........................................... [1],6 B1,"(2, 'a.ii')"
3126,A nucleus of nitrogen-13 has the nuclide notation:  (DIAGRAM) . Determine:   the number of electrons in one neutral atom of nitrogen-13. ............................... [1]  ,7 B1,"(2, 'a.iii')"
3127,Fig. 11.1 shows a counter measuring the radioactivity of a sample of nitrogen-13.  (DIAGRAM)  The counter shows the count rate in counts per minute. Table 11.1 shows the count rate every 5 minutes.                              Table 11.1     time/min count rate due to nitrogen-13 counts /min   0 300   5 212   10 150   15 106   20 75   25 53     Calculate the half-life of nitrogen-13 using information from Table 11.1.     half-life of nitrogen-13 = .................................................. min [2],using a pair of values e.g. 300 and 150 OR 212 and 106 etc.  C1 (difference in time is) 10 (min)  A1,"(2, 'b')"
3128,Fig. 10.1 shows the circuit symbols for three electrical components. Draw a line from each circuit symbol to the correct electrical component.  [3]  (DIAGRAM) ,top to heater B1 middle to thermistor B1 bottom to galvanometer B1,"(3, 'a')"
3129,"Fig. 10.2 shows a circuit consisting of a battery, a fixed resistor and an ammeter.  (DIAGRAM)    A voltmeter is connected in the circuit to measure the potential difference (p.d.) across the fixed resistor. By drawing on Fig. 10.2, show how the voltmeter is connected. Use the correct circuit symbol for the voltmeter. [2]  ",voltmeter symbol  B1 in parallel with resistor / supply B1,"(3, 'b.i')"
3130,"Fig. 10.2 shows a circuit consisting of a battery, a fixed resistor and an ammeter.  (DIAGRAM)    The potential difference (p.d.) across the fixed resistor is 11.5V. The reading on the ammeter is 0.25A. Calculate the resistance of the fixed resistor. Include the unit in your answer.   resistance = ......................... unit ........................ [4]",V = I × R in any form  C1 11.5 ÷ 0.25  C1 46 A1 ohms / Ω B1,"(3, 'b.ii')"
3131,"Fig. 9.1 shows two uncharged balloons suspended from a beam by light thread.  (DIAGRAM)  The balloons are close to each other but not touching. In the box below, draw the position of the balloons when they both have a positive charge. [1]  (DIAGRAM) ",showing repulsion B1,"(4, 'a')"
3132,Table 9.1 includes a list of materials.  State whether each material is an electrical conductor or an electrical insulator. The first example is done for you. [2]                              Table 9.1     material conductor or insulator   copper conductor   rubber     wood     iron     gold      ,insulators: rubber AND wood B1 conductors: iron AND gold  B1,"(4, 'b')"
3133,An uncharged cloth rubs an uncharged plastic rod. The cloth becomes positively charged and the plastic rod becomes negatively charged. Explain how the cloth becomes positively charged. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3],electrons / negative charges B1 move / transfer  B1 from cloth to rod  B1,"(4, 'c')"
3134,"Fig. 8.1 shows a ray of light incident on a plane mirror.  (DIAGRAM)    State which angle, a, b or c, is the angle of incidence.  angle of incidence = .......................................................... [1]",c B1,"(5, 'a.i')"
3135,Fig. 8.1 shows a ray of light incident on a plane mirror.  (DIAGRAM)    State the name of the line labelled X. ..................................................................................................................................... [1],normal B1,"(5, 'a.ii')"
3136,"Fig. 8.1 shows a ray of light incident on a plane mirror.  (DIAGRAM)    The mirror reflects the ray of light. On Fig. 8.1, draw the reflected ray. [2]    ",reflected ray a continuation of incident ray AND in correct quadrant M1 angle of reflection equals angle of incidence  A1,"(5, 'a.iii')"
3137,Fig. 8.2 shows a ray of red light travelling through a semicircular glass block.    (DIAGRAM)    Fig. 8.3 shows another ray of red light entering the semicircular glass block at 60°. Continue the path of this ray through the glass block and into the air. [2]    (DIAGRAM) ,continuation of incident ray AND reflected internally in correct quadrant M1 angle of reflection equals angle of incidence A1,"(5, 'b.i')"
3138,Fig. 8.2 shows a ray of red light travelling through a semicircular glass block.    (DIAGRAM)    Fig. 8.4 shows another ray of red light entering the semicircular glass block at 20°. Continue the path of this ray through the glass block and into the air. [2]      (DIAGRAM) ,continuation of incident ray AND emerging from block in correct quadrant  M1 angle of refraction larger than angle of incidence  A1,"(5, 'b.ii')"
3139,This question is about the electromagnetic spectrum.    State the name of a region of the electromagnetic spectrum which has longer wavelengths than visible light. ..................................................................................................................................... [1],infrared / microwaves / radio waves  B1,"(6, 'a.i')"
3140,This question is about the electromagnetic spectrum.    State the name of a region of the electromagnetic spectrum which has shorter wavelengths than visible light. ..................................................................................................................................... [1],ultraviolet / X-rays / gamma rays  B1,"(6, 'a.ii')"
3141,This question is about the electromagnetic spectrum.    Electromagnetic waves are travelling through a vacuum. Indicate the property that is always the same for all the waves. Tick (✔) one box.  [1]     frequency     speed     amplitude      ,middle box ticked (speed) B1,"(6, 'a.iii')"
3142,This question is about the electromagnetic spectrum.    Indicate the correct statement about the nature of electromagnetic waves. Tick (✔) one box.  [1]     All electromagnetic waves are transverse.     All electromagnetic waves are longitudinal.     Some electromagnetic waves are transverse and some are longitudinal.      ,top box ticked (All electromagnetic waves are transverse.)  B1,"(6, 'a.iv')"
3143,This question is about the electromagnetic spectrum.    Indicate the correct statement about the action of electromagnetic waves. Tick (✔) one box. [1]     They transfer energy from one place to another.     They transfer atoms from one place to another.     They transfer molecules from one place to another.      ,top box ticked (They transfer energy from one place to another.)  B1,"(6, 'a.v')"
3144,This question is about the electromagnetic spectrum.  State the type of electromagnetic radiation used:    for a remote controller to operate a television ..................................................................................................................................... [1],infrared B1,"(6, 'b.i')"
3145,This question is about the electromagnetic spectrum.  State the type of electromagnetic radiation used:    in a hospital to produce an image of broken bones. ..................................................................................................................................... [1],X-rays B1,"(6, 'b.ii')"
3146,"Three rods are identical in size and shape, but each rod is made from a different material. On one end of each rod is a pin held in place by wax. The wax melts when it is warm. The rods are placed on a block of wood and heated equally by a Bunsen burner as shown in Fig. 6.1.  (DIAGRAM)    State the process of thermal energy transfer through the rods. ..................................................................................................................................... [1]",conduction B1,"(7, 'a.i')"
3147,"Three rods are identical in size and shape, but each rod is made from a different material. On one end of each rod is a pin held in place by wax. The wax melts when it is warm. The rods are placed on a block of wood and heated equally by a Bunsen burner as shown in Fig. 6.1.  (DIAGRAM)    Explain how the arrangement in Fig. 6.1 can show which rod transfers thermal energy the most quickly. ........................................................................................................................................... ........................................................................................................................................... ........................................................................................................................................... ..................................................................................................................................... [2]  ",melts wax OR pin falls off C1 first pin to fall (is best conductor)  A1,"(7, 'a.ii')"
3148,  State the process by which infrared waves transfer thermal energy. ..................................................................................................................................... [1],radiation  B1,"(7, 'b.i')"
3149,  State the process of thermal energy transfer which does not require a medium. ..................................................................................................................................... [1]  ,radiation  B1,"(7, 'b.ii')"
3150,"Fig. 6.2 shows a heater for warming a room. When there is hot water in the heater, the thermal energy of the water transfers to the room.  (DIAGRAM)  The shiny foil on the wall increases the efficiency of the heater. Explain how the shiny foil increases the efficiency of the heater. ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]",foil reflects (radiation / infrared / radiant heat)  B1 more energy into room (from heater) B1,"(7, 'c')"
3151,Fig. 5.1 shows a tractor and a car of the same weight.  (DIAGRAM)  The vehicles drive over the same soft ground. Explain why the car sinks into the soft ground but the tractor does not sink. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3]  ,P = F ÷ A in any form  B1 tractor has larger area (of tyre(s) in contact with ground) / ora B1 so (tractor) pressure is less (on the ground) / ora B1,"(8, 'a')"
3152,The car driver measures the pressure of the air in a car tyre when the air is cool.  The Sun heats the air in the tyre. The driver measures the pressure of the air in the tyre when the air is warm.  The pressure of the air in the warm tyre is greater.  Explain the increase in the pressure of the air in the tyre. Use ideas about air molecules. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3],kinetic energy of molecules increases / speed of molecules increases B1 hit (tyre walls) more often / greater rate B1 hit (tyre walls) with greater force / harder B1,"(8, 'b')"
3153,A power station burns fossil fuel to produce electrical energy.   State the form of the energy stored in the fuel. ..................................................................................................................................... [1],chemical (energy) B1,"(9, 'a.i')"
3154,A power station burns fossil fuel to produce electrical energy.   Some of the energy stored in the fuel is not converted to electrical energy. Suggest how energy is wasted in the generator. ........................................................................................................................................... ........................................................................................................................................... ..................................................................................................................................... [2]  ,any two from: friction  thermal / heat  vibrations / sound  resistance in wires   B1,"(9, 'a.ii')"
3155,"Solar panels produce electrical energy. State two advantages and two disadvantages of using solar panels, rather than fossil fuels, to produce electrical energy. advantages 1. ............................................................................................................................................... ................................................................................................................................................... 2. ............................................................................................................................................... ................................................................................................................................................... disadvantages 1. ............................................................................................................................................... ................................................................................................................................................... 2. ............................................................................................................................................... ................................................................................................................................................... [4]",any two advantages:  free fuel  renewable  no air pollution / no SO2 / no acid rain  no greenhouse gases / CO2 emissions  little / no maintenance  quiet B2 any two disadvantages:  needs a lot of space  no energy at night  less energy when cloudy / winter  D.C B2,"(9, 'b')"
3156,A girl and her brother sit on opposite sides of a see-saw as shown in Fig. 3.1.  (DIAGRAM)    Calculate the girl's moment about the pivot and show that it is close to 460Nm. [3]    ,force × (perp) distance C1 240 × 1.9  C1 456 (Nm) (which is close to 460 Nm) A1,"(0, 'a.i')"
3157,A girl and her brother sit on opposite sides of a see-saw as shown in Fig. 3.1.  (DIAGRAM)    The see-saw is balanced horizontally.  Calculate the weight W of the brother.     W = ..................................................... N [3]  ,c.w. moment = a.c.w moment OR girl's moment = brother's moment C1 240 × 1.9 = W × 1.2 OR 456 ÷ 1.2 OR 460 ÷ 1.2 C1 380 (N)  A1,"(0, 'a.ii')"
3158,The weight of the girl in Fig. 3.1 is 240N. Calculate the mass of the girl. Include the unit in your answer.     mass of girl = ......................... unit ........................ [4],W = mg in any form OR (m =) W ÷ g C1 240 ÷ 10 C1 24 A1 kg  B1,"(0, 'b')"
3159,"A scientist has a measuring cylinder, a beaker of sea water and an electronic balance. Describe an experiment to determine the density of the sea water. Include any equations in your answer.      ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [5]  ",find mass of measuring cylinder / beaker / container empty B1 add sea water AND read volume B1 find mass of measuring cylinder / beaker / container with seawater B1 subtract the 2 mass readings (to give mass of seawater)  B1 (D) = M ÷ V in any form B1,"(1, 'a')"
3160,A plank of wood floats on the sea. Explain why the wood floats. ................................................................................................................................................... ............................................................................................................................................. [1],wood less dense (than seawater) / ora B1,"(1, 'b')"
3161,Fig. 1.1 shows the speed–time graph for a car travelling along a road.  (DIAGRAM)   Determine the distance travelled by the car between 30s and 60s.    distance travelled = ..................................................... m [3]  ,(distance =) area under graph B1 16 × 30    480 (m)  B1,"(2, 'a')"
3162,Fig. 1.1 shows the speed–time graph for a car travelling along a road.  (DIAGRAM)   The distance travelled by the car between 60s and 110s is 460m. Calculate the average speed of the car between 60s and 110s.    average speed = ................................................. m/ s [4]  ,(110 – 60 =) 50  B1 (speed =) distance ÷ time in any form    460 / 50 B1 9.2 (m / s)  B1,"(2, 'b')"
3163,Fig. 1.1 shows the speed–time graph for a car travelling along a road.  (DIAGRAM)   Describe the motion of the car between 30s and 60s. ............................................................................................................................................. [1]  ,constant speed OR 16 m / s  C1,"(2, 'c')"
3164,Fig. 1.1 shows the speed–time graph for a car travelling along a road.  (DIAGRAM)   Describe the motion of the car between 60s and 80s. ............................................................................................................................................. [1],decelerating OR negative acceleration OR slowing down / owtte   ,"(2, 'd')"
3165,The nuclide notation  (DIAGRAM)  describes the nucleus of an atom.   Draw a line from each symbol to the correct description of the symbol.  [2]   (DIAGRAM) ,line from A to middle box: nucleon number B1 line from Z to bottom box: proton number B1,"(3, 'a')"
3166,The activity of a sample of a radioactive nuclide is measured in June of each year. In June 2004 the activity was 80000counts / s. In June 2014 the activity was 20000counts / s.   Show that the half-life of the nuclide is 5 years. [3]     ,(from June 2004 to June 2014 =) 10 (years)  B1 (decrease in activity from) 80 000 (Bq) to 20 000 (Bq) takes 2 half-lives  B1 10 ÷ 2 = (5 years)  B1,"(3, 'b.i')"
3167,The activity of a sample of a radioactive nuclide is measured in June of each year. In June 2004 the activity was 80000counts / s. In June 2014 the activity was 20000counts / s.   Determine the year when the activity of the sample was 10000counts/s.    year = ......................................................... [2],(decrease in activity from) 20 000 (Bq) to 10 000 (Bq) is one half-life  C1 so half the time difference = 5 years OR 2019 A1,"(3, 'b.ii')"
3168,Fig. 10.1 shows an electric screwdriver which has an electric motor and a battery.   (DIAGRAM)     The electric motor has a current-carrying coil in a magnetic field. The screwdriver's manufacturer decides that the turning effect of the coil is too small. State three ways of increasing the turning effect of the coil. 1. ....................................................................................................................................... 2. ....................................................................................................................................... 3. ....................................................................................................................................... [3],in any order:   increase current (in coil)  B1 increase strength of magnet(s) or magnetic field(s)  B1 increase the number of turns on the coil  B1,"(4, 'a.i')"
3169,Fig. 10.1 shows an electric screwdriver which has an electric motor and a battery.   (DIAGRAM)     The coil in the motor can rotate in either direction. State what happens in the coil to reverse the direction of rotation. ..................................................................................................................................... [1]  ,(direction of the) current (in the coil) is reversed  B1,"(4, 'a.ii')"
3170,Fig. 10.1 shows an electric screwdriver which has an electric motor and a battery.   (DIAGRAM)   The battery is charged using a transformer connected to an a.c. power supply. The primary voltage Vp to the transformer is 234V and the secondary voltage Vs of the transformer is 18V. The number of turns on the primary coil Np is 2470 turns. Calculate the number of turns on the secondary coil Ns.     Ns = ......................................................... [3],(Vp/Vs) = (Np/Ns) in any form C1 234 ÷ 18 = 2470 ÷ Ns OR Ns = 2470 ÷ (234 ÷ 18) OR 2470 ÷ 13  C1 (turns on secondary/output coil Ns =) 190  A1,"(4, 'b')"
3171,Fig. 9.1 shows an electric circuit.  (DIAGRAM)    The current in the metal wires of the circuit is a flow of particles. State the name of these particles. ..................................................................................................................................... [1],electron(s)  B1,"(5, 'a.i')"
3172,Fig. 9.1 shows an electric circuit.  (DIAGRAM)    State the name of component X. ..................................................................................................................................... [1],(component X is a) variable resistor  B1,"(5, 'a.ii')"
3173,Fig. 9.1 shows an electric circuit.  (DIAGRAM)    The circuit is in a darkened room. The voltmeter reading is 5.5V and the ammeter reading is 0.050A. Calculate the resistance of the light-dependent resistor (LDR).    resistance = ..................................................... Ω [3]  ,V= IR or (R =) V/I C1 5.5 ÷ 0.05 (0)  C1 110 (Ω) A1,"(5, 'a.iii')"
3174,The light in the room is switched on. The room becomes bright. State and explain how increasing the brightness of the light that falls on the LDR changes the current in the circuit. ................................................................................................................................................... ............................................................................................................................................. [2],(current in circuit) increases  B1 (because) resistance of LDR decreases  B1,"(5, 'b')"
3175,"A student uses a semicircular glass block to investigate refraction.   He shines a ray of red light into the block, as shown in Fig. 8.1. X is the middle of the flat surface.   (DIAGRAM)    On Fig. 8.1, draw the normal where the ray meets the flat surface at X. [1]  ",normal drawn at X correct by eye  B1,"(6, 'a.i')"
3176,"A student uses a semicircular glass block to investigate refraction.   He shines a ray of red light into the block, as shown in Fig. 8.1. X is the middle of the flat surface.   (DIAGRAM)    On Fig. 8.1, label the angle of refraction. Use the letter R for the label. [1]  ",angle of refraction correctly labelled  B1,"(6, 'a.ii')"
3177,"A student uses a semicircular glass block to investigate refraction.   He shines a ray of red light into the block, as shown in Fig. 8.1. X is the middle of the flat surface.   (DIAGRAM)    The student uses a semicircular glass block. State the name of one other piece of equipment that he needs for the investigation. ..................................................................................................................................... [1]  ", any one from:   pin(s) OR ray box owtte OR (low voltage) power supply OR  protractor OR ruler   B1,"(6, 'a.iii')"
3178,"A student uses a semicircular glass block to investigate refraction.   Fig. 8.2 shows a ray of red light incident on the flat surface of the semicircular glass block. The angle of incidence is greater than the critical angle for glass.  (DIAGRAM)  On Fig. 8.2, draw the path of the ray after it strikes the flat surface. [2]",ray reflected from flat surface  M1 ray reflected with angle i = angle r A1,"(6, 'b')"
3179,"Both radio waves and γ-rays (gamma) are radiations in the electromagnetic spectrum. Fig. 7.1 shows the main regions of the electromagnetic spectrum. Most regions are labelled.  (DIAGRAM)    On Fig. 7.1, write the names of the radiations in the other two parts of the electromagnetic spectrum. [2]  ",(1st box/next to visible) ultraviolet (rays)  B1 (2nd box/next to gamma) X-rays  B1,"(7, 'a.i')"
3180,Both radio waves and γ-rays (gamma) are radiations in the electromagnetic spectrum. Fig. 7.1 shows the main regions of the electromagnetic spectrum. Most regions are labelled.  (DIAGRAM)    State one use of γ-rays. ..................................................................................................................................... [1],detection and treatment of cancer OR imaging/gamma photography OR (space) telescopes OR sterilisation of food/medical equipment B1,"(7, 'a.ii')"
3181,"Both radio waves and γ-rays (gamma) are radiations in the electromagnetic spectrum. Fig. 7.1 shows the main regions of the electromagnetic spectrum. Most regions are labelled.  (DIAGRAM)    A star emits radio waves and γ-rays at the same time. They all travel across the vacuum of space to the Earth's atmosphere. State whether the radio waves or the γ-rays, if either, arrive first at the Earth's atmosphere. Give a reason for your answer. statement .......................................................................................................................... reason ......................................................................................................................... [2]  ",statement: (radiations arrive) at same time  M1 reason: (because they have) same speed (in a vacuum) A1,"(7, 'a.iii')"
3182,Fig. 7.2 shows pulses of a signal from a star.   (DIAGRAM)    Use the graph in Fig. 7.2 to determine the time between pulses.      time between pulses = ...................................................... s [2],use of peaks to find time interval  C1 0.2 (s) A1,"(7, 'b.i')"
3183,Fig. 7.2 shows pulses of a signal from a star.   (DIAGRAM)    Determine the frequency of the pulses in Fig. 7.2.     frequency = .................................................... Hz [2],frequency = number of pulses per s C1 5 (Hz)  A1,"(7, 'b.ii')"
3184,Fig. 5.1 shows a device connected to a gas cylinder. The device is used to measure the pressure of the gas inside the cylinder.  (DIAGRAM)     State the name of the device shown in Fig. 5.1. ..................................................................................................................................... [1],(mercury) manometer B1,"(9, 'a.i')"
3185,Fig. 5.1 shows a device connected to a gas cylinder. The device is used to measure the pressure of the gas inside the cylinder.  (DIAGRAM)     The atmospheric pressure is equal to 75cm of mercury. Determine the pressure of the gas in the cylinder. Use information from Fig. 5.1.     pressure of gas = ................................ cm of mercury [2]  ,(pressure of gas in cylinder) is 14 cm of mercury (different to atmospheric pressure) owtte  C1 (75 + 14 =) 89 (cm of mercury)  A1,"(9, 'a.ii')"
3186,Fig. 5.1 shows a device connected to a gas cylinder. The device is used to measure the pressure of the gas inside the cylinder.  (DIAGRAM)   Fig. 5.2 shows two identical heavy stone tiles placed on soft ground. One is vertical and the other is horizontal.  (DIAGRAM)  One of the tiles sinks into the soft ground. State and explain which tile sinks into the soft ground. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [4],vertical tile (is more likely to sink)  B1  any three from:   (because) tiles have same weight  pressure = force ÷ area  small(er) area (in contact with ground) for vertical tile ora  (so) greater/big pressure (exerted on ground) ora    B3,"(9, 'b')"
3187,"A student investigates energy changes when a ball rolls down a curved track. The student holds the ball at a starting point on the curved track, as shown in Fig. 4.1.  (DIAGRAM)  The ball is released. It rolls down the track, up the other side to the stopping point and then back down again.  Describe the energy changes that take place as the ball rolls from the starting point to the stopping point. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [4]  ", any four from:   (gravitational) potential energy (of ball)  (is) transformed/transferred to OR becomes kinetic energy (of ball)  as it falls or moves down slope must be linked to energy (change)  kinetic energy transferred to (gravitational) potential energy  (as) ball rises or moves up slope must be linked to energy (change)  (transferred to) thermal energy (due to friction)   B4,"(0, 'a')"
3188,"A student investigates energy changes when a ball rolls down a curved track. The student holds the ball at a starting point on the curved track, as shown in Fig. 4.1.  (DIAGRAM)  The ball is released. It rolls down the track, up the other side to the stopping point and then back down again.  The height of the stopping point is less than the height of the starting point. Describe how the principle of conservation of energy explains the difference between the height of the stopping point and the height of the starting point.  ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [2]", any two from:   some (of the initial) (G)PE/energy is transferred  (to) thermal energy  (due to) friction/air resistance  ball has less (G)PE/energy at stopping point    B2,"(0, 'b')"
3189,Fig. 3.1 shows a barrier used at a car park. The beam can be raised and lowered by a man rotating it about its pivot.  (DIAGRAM)   The weight of the beam is 150N. This acts at a distance of 1.8m from the pivot as shown in Fig. 3.1. Calculate the moment of the weight of the beam about the pivot.  Include the correct unit in your answer.      moment of weight of beam = ................................ unit ................. [4]  ,(moment of weight =) weight × (perpendicular) distance (of weight from pivot)  C1 (moment of weight =) 150 × 1.8  C1 270 A1 Nm B1,"(1, 'a')"
3190,"Fig. 3.1 shows a barrier used at a car park. The beam can be raised and lowered by a man rotating it about its pivot.  (DIAGRAM)   When the weight W of the heavy weight acts at a distance of 0.6m from the pivot, the barrier is horizontal and balanced as shown in Fig. 3.1.  The man raises the barrier and the heavy weight slips to a distance of 0.8m from the pivot. This causes a problem for the man trying to lower the barrier. Describe and explain the problem this causes for the man lowering the barrier. ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ................................................................................................................................................... ............................................................................................................................................. [3]",barrier no longer balanced OR cannot be lowered (easily) B1 (more) force needed to lower barrier B1 (because) moment of heavy weight (has) increased B1,"(1, 'b')"
3191,Fig. 2.1 shows how the speed of a car varies between 0 and 60.0s.  (DIAGRAM)   Determine the speed of the car using information from Fig. 2.1:   when the time is 5.0s  speed = ................................................. m/s [2],any indication on graph or in working of vertical line from 5.0 s C1 22.5 (m / s) A1,"(2, 'a.i')"
3192,Fig. 2.1 shows how the speed of a car varies between 0 and 60.0s.  (DIAGRAM)   Determine the speed of the car using information from Fig. 2.1:   when the car is moving with a constant speed.  speed = ................................................. m/s [1]  ,35 (m / s)  B1,"(2, 'a.ii')"
3193,Fig. 2.1 shows how the speed of a car varies between 0 and 60.0s.  (DIAGRAM)   Describe how the speed of the car changes between 30.0s and 60.0s. ............................................................................................................................................. [2]  ,(speed of car) decreasing OR slows (down) B1 (until speed of car) is zero OR stops (moving)  B1,"(2, 'b')"
3194,Fig. 2.1 shows how the speed of a car varies between 0 and 60.0s.  (DIAGRAM)   Determine the distance travelled by the car between 10.0s and 30.0s.   distance travelled = ..................................................... m [3]  ,(distance =) area under graph OR (distance =) speed × time  C1 20 × 35 C1 700 (m)  A1,"(2, 'c')"
3195,Fig. 2.1 shows how the speed of a car varies between 0 and 60.0s.  (DIAGRAM)   The total distance travelled by the car in the last 30.0s is 226m.  Calculate the average speed of the car in the last 30.0s.   average speed = ................................................. m/s [3],(average speed =) (total) distance ÷ (total) time  C1 226 ÷ 30(.0)  C1 7.53 (m / s)  A1,"(2, 'd')"
3196,Fig. 1.1 shows the core of a transformer. It is made from thin sheets of iron.  (DIAGRAM)   There are 200 sheets of iron in the core of the transformer. The thickness of the core is 50 mm. Calculate the average thickness of one sheet of iron.     average thickness of one sheet = .................................................. mm [3]  ,(average thickness =) total thickness ÷ number of sheets  C1 (average thickness =) 50 ÷ 200 C1 0.25 (mm)  A1,"(3, 'a')"
3197,Fig. 1.1 shows the core of a transformer. It is made from thin sheets of iron.  (DIAGRAM)   The density of the iron in the core is 7.65g/cm3. The mass of the core is 1377g. Calculate the volume of the core.      volume = .................................................. cm3 [3]  ,density = mass ÷ volume OR (volume =) mass ÷ density C1 (volume =) 1377 ÷ 7.65  C1 180 (cm3) A1,"(3, 'b')"
3198,Fig. 1.1 shows the core of a transformer. It is made from thin sheets of iron.  (DIAGRAM)   State the name of a device used to measure mass. ............................................................................................................................................. [1],(top pan or chemical) balance  B1,"(3, 'c')"
3199,Table 12.1 describes four nuclides.  (DIAGRAM)    State which two nuclides have the same number of protons. ..................................................................................................................................... [1],uranium-235 AND uranium-238 B1,"(4, 'a.i')"
3200,Table 12.1 describes four nuclides.  (DIAGRAM)    State which two nuclides have the same number of nucleons. ..................................................................................................................................... [1],plutonium(-238) AND uranium-238 B1,"(4, 'a.ii')"
3201,Table 12.1 describes four nuclides.  (DIAGRAM)    State which one of the four nuclides has the most electrons orbiting when it is in a neutral atom. ..................................................................................................................................... [1]  ,plutonium(-238) B1,"(4, 'a.iii')"
3202,Thorium-234 has a half-life of 24 days. A sample of radioactive material contains 40mg of thorium-234. Calculate the mass of thorium-234 remaining after 72 days.     mass of thorium-234 remaining = ................................................... mg [3],idea of 3 half-lives OR 72 ÷ 24 B1 40 ÷ 8 C1 5(.0) (mg)  A1,"(4, 'b')"
3203,A student uses a coil and a magnet on a spring to generate an electromotive force (e.m.f.) that varies. He suspends the magnet above a coil as shown in Fig. 11.1.  (DIAGRAM)   The student pulls the magnet through the coil to X and then releases it. The magnet moves up and down through the coil. State the type of voltage induced in the coil. Tick (✔) one box. [1]       (DIAGRAM) ,top box ticked (alternating) B1,"(5, 'a')"
