,Prompt
762,"A wire with calipers measuring diameter at three points—thick, thin, and medium—with arrows indicating averaging. This illustrates random error reduction."
763,"A pendulum amplitude measurement with an eye viewing a scale. A mirror behind the scale shows the marker's reflection; aligning the eye so the marker and reflection coincide ensures perpendicular viewing, reducing parallax error."
764,"A simple table comparing vectors and scalars:  
| **Vector**      | **Scalar**          |  
|-----------------|---------------------|  
| Force           | Kinetic energy      |  
| Displacement    | Power               |  
| Acceleration    | Speed               |  
|                 | Work                |  
|                 | Potential energy    |  
This illustrates why only Option B mixes one vector and one scalar."
765,"An α-particle approaching the nucleus experiences repulsion; if the nucleus is massive, it barely moves, causing the α-particle to rebound."
766,"A series circuit with a 9.0 V battery, followed by a thermistor labeled ""T"", then a fixed resistor labeled ""250 Ω"". Points X and Y are connected across the fixed resistor, with X at the top and Y at the bottom. The p.d. between X and Y is the voltage across the fixed resistor."
767,"Circuit A shows a battery connected to a resistor and a diode in parallel. The diode is oriented to be forward-biased, with its anode connected to the positive terminal of the battery and cathode to the negative terminal, shorting the resistor."
768,"Circuit B shows a battery connected in series with a resistor and a forward-biased diode. The diode's anode faces the positive terminal, and current flows through both components."
769,Circuit C shows a battery connected to two resistors in series. A diode may be present but does not conduct or is arranged in a way that does not bypass any resistance.
770,"Two point charges, left labeled ""+"", right labeled ""−"". Field lines emerge radially from ""+"", curve outward, then inward toward ""−"", forming a pattern symmetric about the horizontal axis joining the charges. Lines are denser near each charge and never cross."
771,"Lines form concentric ovals around both charges, resembling a magnetic dipole field."
772,"Both charges have symmetric outward-radiating lines, like two isolated positive charges."
773,"Straight, equally spaced horizontal lines filling the space, with no convergence to charges."
774,"A light source emits waves toward a single slit. After passing through the single slit, the light diffracts, forming a spreading wavefront. This wavefront then reaches two closely spaced double slits. The double slits are illuminated by the same curved wavefront, ensuring that the light at each slit is in phase."
775,"A star moving away from Earth. Wave crests are shown as circles expanding outward. The distance between crests is larger on the side toward Earth compared to the star's rest frame, illustrating wavelength stretching."
776,The wave shows one complete cycle spanning approximately 4.17 horizontal divisions.
777,"A sphere dropped from height H hits a plate at speed u, rebounds at speed v, and rises to height H/2. Energy bars show KE = 1/2 mu² before impact, KE = 1/4 mu² after impact, and PE = mgH/2 at rebound apex."
778,"A right triangle with hypotenuse T, adjacent side to θ as W, opposite side as P. Angle θ is between T and W."
779,"A horizontal rod with pivot P. Force 1 acts upward at a point d left of P, causing clockwise torque. Force 2 acts downward at a point d right of P, also causing clockwise torque."
780,"A curve starting at the origin with increasing steepness, bending upwards."
781,"A straight line with constant slope, following the initial curve."
782,"A straight line starting from the origin or a positive intercept, sloping upwards to the right. This represents displacement increasing linearly with time."
783,"Velocity-time graph: Horizontal line above the t-axis. Displacement-time graph: Straight line with positive slope, starting from the origin."
784,"A bar graph showing nominal E = 80 J at the center, with error bars extending to 88 J and 72 J, representing the maximum and minimum possible values. The uncertainty range of 16 J is symmetric around 80 J, but the absolute uncertainty is half of this range in magnitude, though the calculation directly gives ±8 J."
785,"A vertical arrow labeled ""E"" pointing upward, representing the electric field. A positive charge ""+q"" inside the field with an upward force arrow ""F"" parallel to E. Caption: ""For a positive charge, force and field are in the same direction."""
786,"Three-quarters of a wavelength. Node at closed end, antinode in the middle, node, antinode at open end."
787,"Five-quarters of a wavelength. Node at closed end, antinode, node, antinode, node, antinode at open end."
788,"Point D would be a zero-crossing where the curve slopes upward. Particles move apart, reducing density."
789,"A sketch of the electromagnetic spectrum showing frequency increasing from left to right. Radio waves are on the far left, spanning 3 kHz–300 GHz, with 107 MHz marked within the VHF region. Infra-red, ultraviolet, and X-rays are progressively to the right, at higher frequencies."
790,"A sinusoidal displacement-time graph. Point X is at a zero-crossing where the curve has a positive slope. Point Y is the next zero-crossing with the same positive slope. The horizontal distance between X and Y is labeled ""T,"" representing the time period."
791,"Before collision: two spheres approaching, arrows → and ←. After elastic collision: spheres moving apart, arrows ← and →."
792,"Imagine a sledge with the front edge horizontal. Dog X's rope is 65° from the vertical, so its horizontal component points forward. Dog Y's rope is 45° from the vertical, also contributing forward. The vertical components cancel partially or are ignored since only forward force is needed."
793,Supply enters at Z1. Switch 1 bridges Z1 and X1. X1 connects to Z2. Switch 2 bridges Z2 and X2. X2 connects to the lamp.
794,"Current flows to Z2 but hits a ""dead end"" at Switch 2, with X2-Y2 bridging unused terminals."
795,"A simple circuit with a battery labeled ""1 V"" powering a lightbulb. Arrows show 1 coulomb of charge moving through the bulb, with text: ""1 J of energy dissipated per 1 C of charge""."
796,"Two identical positive charges separated by a distance. Field lines emerge radially from each charge. Near each charge, lines are nearly radial. In the central region, lines bend away from the midpoint, forming a symmetric ""repulsive"" pattern. No lines cross the midpoint directly; instead, they curve outward to infinity."
797,"Two waves with identical wavelength and amplitude, initially aligned peaks. After traveling paths differing by ½λ, one wave is delayed by half a cycle, causing peaks to meet troughs at P."
798,"Waves start in phase. After one wave travels an extra λ, it completes a full cycle, realigning with the other wave at P."
799,"Waves start 90° out of phase. After one wave travels an extra λ, it shifts by 360°, preserving the 90° misalignment. Crests partially overlap troughs, but cancellation is incomplete."
800,Waves with long wavelength passing through a narrow gap: wavefronts spread out in a wide semicircular pattern behind the gap.
801,"Waves passing through a wide gap: wavefronts remain mostly parallel, with slight curvature only at the edges."
802,"A string of length L fixed at both ends. For n=1: one antinode at center. For n=2: two antinodes, nodes at center and ends. For n=3: three antinodes, two nodes between ends. Frequencies: f₁, f₂=2f₁, f₃=3f₁."
803,"A sine wave with peaks spaced approximately 3.7 cm apart, covering about half the screen width, indicating one cycle."
804,"Same wave as above. Arrow from crest to trough labeled ""Peak-to-trough distance = 2 × Amplitude""."
805,"A sinusoidal wave is plotted with displacement y vs. distance x. Point P is at a crest, and point Q is at a trough 1.5 wavelengths away. The wave completes 1.5 full cycles between P and Q, confirming Δx = 1.5λ."
806,"A wavelength ruler is overlaid on the wave. The distance between P and Q spans 1.5 times the distance between consecutive crests, confirming Δx = 1.5λ."
807,"A sketch showing two scenarios. Left: Planet surface with 1.0 kg mass raised 10 m, labeled ""W = 30 J → g = 3 m/s²"". Right: Same planet with 4.0 kg mass raised 5 m, labeled ""W = mgh = 4 × 3 × 5 = 60 J"". Arrows emphasize g is constant."
808,"A vertical motion diagram showing the pellet ascending at 200 m/s toward the stationary clay block. At impact, the pellet embeds, and the combined mass moves upward at 10 m/s. The path then curves under gravity, reaching a maximum height h = 5.1 m, labeled above the starting point."
809,"A horizontal rod of length 0.5 m. At the left end, a vertical force of 1.5 N acts upward. At the right end, a vertical force of 1.5 N acts downward. The forces are equal, opposite, and parallel, forming a couple. The perpendicular distance is the rod length, 0.5 m."
810,Proton: uud quarks bound by gluons; Neutron: udd quarks bound by gluons
811,"A junction with three wires: currents $I_1$ and $I_2$ entering, and $I_3$ leaving. Arrows show direction of flow. Kirchhoff's law gives $I_1 + I_2 = I_3$, ensuring net charge flow into the junction is zero."
812,Two slits close together produce widely spaced bright/dark bands on a screen. Slits farther apart produce narrower bands.
813,"Two lamps labeled ""Source 1"" and ""Source 2"" emit wavy lines representing light. The waves from Source 1 have random peaks/troughs, while waves from Source 2 are similarly irregular but out-of-sync. Arrows show the waves overlapping at a screen, but no stable pattern forms—instead, the screen is uniformly bright."
814,"A horizontal trace on a CRO screen showing one complete sinusoidal cycle spanning 30 mm. The time-base arrow indicates 5 µs per mm, with markers at 0 mm, 10 mm, 20 mm, and 30 mm. The period T is labeled as 150 µs."
815,Loading curve rises linearly/nonlinearly; unloading curve is shallower and ends at a positive strain when stress=0.
816,"Loading curve with an initial linear elastic region, then a yield point and plastic curve; unloading is linear but ends at non-zero strain."
817,"Graph A has two lines. The GPE line is straight, starting high at left and sloping down linearly to zero at right. The EPE curve is horizontal at zero until point L on the x-axis, then curves upward as a parabola, ending at a value less than GPE's initial maximum."
818,"A container divided into two sections: left side labeled ""Water: 1.5 m³, 1500 kg"" and right side labeled ""Alcohol: 0.5 m³, 400 kg"". Arrows show mixing into a single container labeled ""Mixture: 2.0 m³, 1900 kg → Density = 950 kg/m³""."
819,"Horizontal line at a negative value, e.g., -9.81 m/s²"
820,"Line curves upward from -9.81 m/s² toward zero acceleration, then plateaus at zero"
821,Sharp positive peak in acceleration
822,Acceleration curve falls from the positive spike back to zero and plateaus
823,"""Inverted V"" shape"
824,"A dot plot showing three points clustered at 80.1, 80.2, and 80.2 kg, with arrows indicating the maximum gap of 0.1 kg between readings."
825,"Two cables attached to a central bracket. Top cable: 10 N force at 30° above horizontal, resolved into 8.66 N rightward and 5.0 N upward. Bottom cable: 10 N force at 30° below horizontal, resolved into 8.66 N rightward and 5.0 N downward. Resultant: 17.32 N rightward ≈ 18.0 N, and 0 N vertically ≈ 0.534 N for small asymmetry."
826,"A scale showing relative sizes:  
   \[
   \begin{array}{c}
   \text{2 pV} \\ 
   \downarrow \\
   \text{2 µV} \\
   \downarrow \\
   \text{2000 µV = 2 mV} \\
   \downarrow \\
   \text{2000 mV = 2 V}
   \end{array}
   \]"
827,A gold foil target. Most alpha-particles pass straight through. A few are deflected slightly. One alpha-particle approaches a tiny central nucleus and is violently repelled backward.
828,"A sketch of V vs. I. The curve starts shallow at the origin, then bends upward sharply as I increases, resembling the right half of a parabola opening upwards."
829,Waves pass through the gap. The wavefronts spread out significantly on one side of the gap but show little to no spreading on the other side. The pattern is asymmetric.
830,"A series of concentric circles representing wavefronts. For motion towards the observer, the circles are closer together on the observer's side; for motion away, they are farther apart."
831,"Waves ahead of the insect are closer together, indicating shorter wavelength and higher frequency at X. Waves behind are farther apart, indicating longer wavelength and lower frequency."
832,"Position C is at an **equilibrium point** but with a **positive slope**. This is just after a trough, where the wave is rising steeply toward a crest."
833,"A beaker is shown empty with a label ""103 g"". The same beaker is then shown filled with water, labeled ""361 g total, water mass = 258 g"". Finally, the beaker is shown filled with oil, labeled ""351 g total, oil mass = 248 g"". The volume level is identical in both liquid-filled states, indicating the same internal volume."
834,"A single vertical line with three arrows: two short upward arrows at the same point labeled ""4 N each"" and one longer downward arrow at the same point labeled ""8 N"". This shows concurrent forces with net force zero and no torque."
835,"A horizontal rod with three vertical forces: two upward forces at the ends labeled ""5 N each"" and one downward force at the center labeled ""10 N"". If all forces act along a central vertical line, net force is zero, and net torque about the center is zero."
836,"Imagine a horizontal crossbar centered on the tap. The left force F points downward, the right force F points upward. The distance from the left end to the center is 2d, and from the center to the right end is 2d, so the total separation is 4d."
837,"Single object with two arrows: one leftward, one rightward, both acting on the object."
838,Single object with two arrows pointing in the same direction.
839,"A tire cross-section showing original diameter 600 mm. After wear, the radius decreases by 6 mm, reducing the diameter to 588 mm. Arrows indicate material loss on the outer surface."
840,"A sine wave spanning exactly 2 horizontal divisions, showing one complete cycle from peak to peak."
841,"Two ionization tracks in a cloud chamber: a thick, short, straight line for an α-particle vs. a thin, long, wispy line for a β-particle."
842,"Two parallel plates with opposite charges. Field lines are straight, parallel, and uniformly spaced, pointing from the positive plate to the negative plate."
843,A single positive charge has field lines radiating *outward*; a single negative charge has field lines pointing *inward*.
844,A sinusoidal trace where the vertical distance from the highest to lowest point is 4.0 cm.
845,"A man pulls downward on one end of a rope passing over a pulley, lifting himself upward with equal force on the other end."
846,A straight displacement-time line with positive slope → constant velocity.
847,Curved displacement-time graph with steepening slope → rising velocity graph.
848,Curved displacement-time graph with flattening slope → falling velocity graph.
849,Flat displacement-time line → velocity = 0.
850,"A ball moving rightward at 4.0 m/s toward a wall. After collision, it moves leftward at 2.8 m/s. The force on the wall is directed rightward, equal to 91 N."
851,"A displacement-time parabola opening downward. The slope starts shallow and positive, steepens to a maximum slope, then becomes zero at the peak, then turns negative and steepens further. The corresponding velocity-time graph is a straight line with negative slope, crossing from positive to negative."
852,"A car of mass 1500 kg moving at 14 m/s. Arrows show velocity vector and KE calculation: KE = 0.5 × 1500 × 14² ≈ 150,000 J."
853,"A velocity-time graph starting at a positive value on the v-axis at t=0. It curves downward with increasing steepness, reaching v=0 at t=t. The curve is parabolic, concave upward."
854,"A car of mass 1500 kg moving at 14 m/s. Arrows show velocity vectors. A graph inset plots KE vs. mass at fixed v, demonstrating KE ≈ 150,000 J for m = 1500 kg."
855,"A straight line graph with slope 1, where the x-axis is ""Loss of potential energy"" and the y-axis is ""Work done against air resistance."" Points along the line show equal increases in both quantities as height decreases."
856,"A downward-opening parabolic displacement-time graph. The gradient starts positive, decreases to zero at the peak, then becomes negative. The corresponding velocity-time graph is a straight line crossing from positive to negative velocity."
857,"Proton = [U] [U] [D] with charges +2/3, +2/3, -1/3 summing to +1. Neutron = [U] [D] [D] with charges +2/3, -1/3, -1/3 summing to 0."
858,"Isotopes of actinium with nucleon numbers 225, 226, 227. All share the same proton number 89 but differ in neutron numbers."
859,"Two 8 Ω resistors placed side by side between X and Y, with both ends connected to X and Y respectively, forming parallel paths for current flow."
860,"Two 4 Ω resistors connected end-to-end between X and Y, forming a single path."
861,"Two 4 Ω resistors in parallel between X and Y, similar to option C but with lower resistance."
862,"A 4 Ω and an 8 Ω resistor in parallel between X and Y, with different resistances in each branch."
863,"I-V graph starts with a steep gradient at origin, then curves concavely downward, becoming less steep at higher voltages."
864,"I-V graph is flat along V-axis until threshold, then curves steeply upward toward current axis."
865,Visualizing quark compositions
866,"A table summarizing proton numbers, nucleon numbers, and neutron numbers for clarity. Columns: Nucleus, Nucleon Number, Proton Number, Neutron Number. Rows: L: 227, 89, 138; M: 226, 89, 137; N: 225, 89, 136; O: 227, 90, 137; P: 226, 90, 136; Q: 225, 90, 135; R: 227, 91, 136; S: 226, 91, 135; T: 225, 91, 134."
867,"Two 3 Ω resistors connected side by side between X and Y, with both ends of each resistor joined to X and Y, respectively, forming parallel paths."
868,Two 1 Ω resistors connected end-to-end in a single path between X and Y.
869,"Two 1 Ω resistors connected side by side between X and Y, forming parallel paths."
870,"Two 2 Ω resistors connected side by side between X and Y, forming parallel paths."
871,** A 9 V battery connected directly to one fixed contact of the switch. The other fixed contact is connected to ground. The moving contact is connected to the computer input. A resistor R is connected between the computer input and ground.**
872,** A 9 V battery connected to one fixed contact of the switch. The other fixed contact is connected to the computer input. The moving contact is connected to ground. A resistor R is connected between the computer input and the battery's positive terminal.**
873,"A graph with voltage on x-axis and current on y-axis. In quadrant I, current rises sharply after a threshold voltage. In quadrant III, current is near zero until a large negative breakdown voltage."
874,A wire with a lattice of stationary positive ions and mobile electrons drifting toward the positive terminal of a battery.
875,"A chart showing nuclei N, P, R. All have N=136 neutrons but different protons: N has 89p⁺, P has 90p⁺, R has 91p⁺. This confirms they are isoneutronic."
876,"Two resistors placed side by side between X and Y, each labeled 4 Ω, with both ends connected to the same terminals, illustrating a parallel configuration."
877,"Two resistors end-to-end between X and Y, each labeled 2 Ω, forming a single path for current."
878,"Two resistors placed side by side between X and Y, each labeled 2 Ω, connected in parallel."
879,A single resistor labeled 4 Ω between X and Y.
880,SPDT switch with common terminal → computer input. Position 1 → ground. Position 2 → direct battery connection.
881,Battery → resistor R → computer input. SPDT switch: Position 1 connects input to ground; Position 2 leaves input open.
882,Battery → resistor R1 → SPDT switch. Switch common terminal → computer input. Position 1 → ground. Position 2 → resistor R2 → ground.
883,"Proton = [u, u, d]; Neutron = [u, d, d]"
884,"Graph B has a horizontal segment to the right, then a diagonal segment downward and leftward with a slope of 2."
885,"Two 4 Ω resistors in series, forming a branch of 8 Ω. This branch is in parallel with another 4 Ω resistor."
886,"A straight line with constant positive slope, extending through the origin into the first and third quadrants."
887,Identical to B—a straight line with constant slope.
888,"A horizontal wire AB between N and S poles of a magnet, connected to a galvanometer. Arrows show vertical motion of the wire."
889,"Starting from any point on a refracted wavefront in the plastic, draw an arrow at 90° to the wavefront, angled downwards to the right. Ensure the arrow is clear and unambiguous."
890,"In the plastic region, show a refracted wavefront tilted relative to the boundary. At the point where this wavefront meets the boundary, draw an arc spanning from the wavefront to the boundary line. Mark this angle clearly with ""r""."
891,"- At point S on face XY, both rays share the same incident ray.  
- Inside the prism, draw the blue ray **below** the red ray, angled closer to the normal.  
- At the second face, draw the blue ray exiting and bending **more steeply downward** than the red ray, so it visibly diverges below it.  
- Label the entire blue path **""B""**."
892,"A cross-section of the cup, spoon, and liquid. Arrows show fast-moving liquid molecules colliding with the spoon's surface. Inside the spoon, wavy lines around molecules represent increasing vibration amplitude from the submerged end to the handle."
893,"A metal spoon in a cup of hot liquid. Arrows show liquid molecules colliding with the spoon's submerged end, transferring energy to free electrons. Wavy paths inside the spoon trace the movement of electrons from the hot end to the cooler handle."
894,"A horizontal rod of length 2.4 m, labelled ""rod"". Centre marked with a dot and downward arrow ""160 N"". Rope X attached at left end with upward arrow ""80 N"", rope Y at right end with upward arrow ""80 N"". Distances from centre to each end labelled ""1.2 m""."
895,"A simplified sketch showing two cars colliding, with the front section of car A visibly crumpling. Arrows indicate the direction of motion before impact, and a clock symbol emphasizes extended collision time."
896,"A central nucleus labeled ""86 protons + 134 neutrons"", surrounded by three elliptical electron shells with 2, 8, and 76 electrons respectively, totaling 86 electrons. The atom is labeled ""Radon-220""."
897,"- Draw a straight line from ""radio waves in air"" to the box labeled ""4"".  
- Draw a straight line from ""ultrasound in air"" to the box labeled ""1"".  
- Draw a straight line from ""X-rays in vacuum"" to the box labeled ""4"".  
"
898,"Protractor centered at the boundary point, with 0° along the normal. Incident ray extends from the boundary into glass at 35° from the normal."
899,"A straight wavefront approaching the boundary at an angle. After crossing into deep water, the wavefront bends away from the normal line, showing increased wavelength and a change in direction."
900,"A wavefront crossing a boundary from shallow to deep water. The wavelength is shorter in shallow water and longer in deep water, but the wave crests are equally spaced in time, indicating unchanged frequency."
901,"Two saucepans on hotplates, one noticeably wider than the other, with water at identical levels. Arrows indicate evaporation occurring across the entire surface of each pan, with more arrows over the wider pan to symbolize greater evaporation."
902,"Sketch wires X and Y viewed from above, with current arrows into the page. Draw clockwise field lines around X, showing the field at Y pointing downward. For force, add an arrow from Y pointing leftward."
903,"A simple sketch showing a d.c. supply connected to a primary coil with switch S, an iron core linking primary and secondary coils, and a galvanometer attached to the secondary coil. Arrows indicate the brief current flow in the secondary coil only when S is closed."
904,"A simple sketch showing a drop between two horizontal plates. Label the top plate ""+"" and bottom plate ""−"". Draw an arrow downward from the drop labeled ""weight"" and an arrow upward labeled ""electric force"". Ensure both arrows are equal in length."
905,"Draw the ray extending straight through the first face into the prism, with no change in its path."
906,A speed-time graph showing speed decreasing linearly from 18 m/s at t=0.9s to 0 m/s at t=4.0s. The gradient of this straight-line segment represents the deceleration.
907,"A simple sketch showing a car stopping suddenly. An arrow inside the car represents the driver's body continuing to move forward toward the steering wheel, labeled ""inertia."""
908,"A sketch showing lines EN and LN intersecting at N. A protractor is centered at N, with the baseline along EN. The angle between EN and LN is marked as θ₁, measured as 15°."
909,"A sketch of the ray-trace sheet showing pins P1 and P2 close together, with exaggerated misalignment arrows. Labels: ""Small pin separation → large angular error"" and ""Large separation → smaller error""."
910,"Sketch a rectangular block with parallel faces. Draw an incident ray at θ₂=40° hitting the first face, refracting inward, traveling straight inside, then refracting outward at the second face with an emergent ray parallel to the incident ray. Label α as the small angle between the extended incident ray and emergent ray, exaggerated for clarity."
911,"A voltmeter with a pointer at 3.2 V. The scale shows major marks at 0, 1, 2, 3, 4, 5 V, with 10 minor divisions per volt. The pointer rests precisely at 3.2 V."
912,"A thermometer showing a red liquid column. An eye is positioned horizontally level with the top of the column, with a sightline arrow pointing straight at the scale. A second eye is shown above with a diagonal sightline arrow, labeled ""parallax error""."
913,"Draw a rectangle to represent the resistor. Add two straight lines extending horizontally from the left and right ends as fixed terminals. From the center of the rectangle, draw a third line angled outward at approximately 45 degrees, ending with an arrowhead. This angled line represents the movable contact or ""wiper."""
914,"Fig. 1.2 shows a rectangular prism representing the taped stack. Use a ruler aligned with the edges to measure each dimension. Ensure the ruler starts at ""0"" at one edge and read the value at the opposite edge. For height, measure the total thickness of the stacked slides."
915,"Not required here, as the calculation relies on numerical values from previous parts."
916,"Locate the 23°C mark on the thermometer scale. Draw a **short, horizontal line** exactly level with the 23°C graduation. Ensure the line is clear and precise, with an accuracy within ±0.5°C. Do not label or write ""23°C"" – simply mark the position."
917,"Sketch a thermometer with an eye positioned directly at right angles to the scale. Show a second eye at an angle, with a dashed line indicating an incorrect line of sight that crosses the scale at a false point."
918,"A sketch showing the pendulum bob displaced to one side. A ruler is positioned horizontally below the bob, aligned with its center. A set square is placed vertically against the ruler, with one edge touching the ruler and the other edge confirming the horizontal alignment against a vertical reference surface, such as the pendulum stand."
919,"A simple pendulum with a bob attached to a string. The vertical position is marked with a dashed line at the bottom of the swing. Arrows show the bob moving left and right, passing through this line."
920,"Sketch a rectangular block with point G at the bottom. Label HG as ""real depth = b"". Draw a ray from G refracting at the top surface, appearing to come from N. Label HN as ""apparent depth = a"". Show angles of incidence and refraction."
921,"A simple circuit diagram showing a battery connected to a resistor in series with an ammeter. A voltmeter is connected in parallel across the resistor. Labels: ""A"" for ammeter, ""V"" for voltmeter, ""R"" for resistor."
922,"Sketch two beakers labeled ""Large"" and ""Small"", with arrows showing heat loss from the surface. The large beaker has a wider surface and more/longer arrows to indicate greater heat flow."
923,"Sketch a temperature-time graph starting at a high temperature with a steep negative slope. The curve gradually flattens as it approaches room temperature, showing decreasing steepness."
924,"A simple sketch would show the barrier arm pivoted at the left end, with the electromagnet below the left side of the arm. When the electromagnet attracts bar A downwards, the left side of the arm moves down, and the right side rises."
925,"A sketch of Table 2.1 would show two rows:  
- Row 1: Spring Q, Force = 80 N, Extension = 10 cm  
- Row 2: Spring R, Force = 40 N, Extension = 36.7 cm"
926,"Sketch showing the primary coil with a.c. supply, magnetic field lines radiating outward and cutting through the secondary coil, and an arrow labeled ""induced current"" in the secondary circuit."
927,"On the speed-time graph, draw a straight line that touches the curve exactly at t = 400 s. The tangent should follow the curve’s slope at that point, extending far enough to calculate its gradient accurately. Ensure the line is straight and not curved."
928,"A barrier with a 0.80 m gap. Sound waves approach the gap from the left. Straight arrows show undiffracted waves passing through to point K. Minimal curved arrows show weak diffraction failing to reach point J, which is offset laterally."
929,"Sketch a speed-time graph where the line is straight and steeply negative until 6.5 s, then becomes a downward-curving line after 6.5 s, showing decreasing steepness."
930,"A simple sketch would show two parallel branches:  
- **Branch 1:** Lamp 1 in series with S1 and S2.  
- **Branch 2:** Lamp 2 in series with S3.  
Closing S1 and S2 lights Lamp 1 only, as S3 is open and breaks the circuit for Lamp 2."
931,"A sketch showing Earth with a satellite in a circular orbit above the equator. Arrows indicate the satellite and Earth rotating at the same rate, keeping the satellite aligned over a single ground point."
932,"Imagine wave crests as parallel lines approaching the boundary between deep and shallow water at an angle. In shallow water, the crests are closer together and bend toward the normal line perpendicular to the boundary, showing the change in direction."
933,"The diagram would show Mercury close to the Sun as a small, solid sphere, and Jupiter farther away as a large, gaseous sphere with visible bands/clouds."
934,"A simple sketch of a rotating disk-shaped nebula with arrows showing inward collapse due to gravity. The Solar System forms near the center, and the entire system is embedded within a spiral galaxy labeled ""Milky Way""."
935,"Three concentric arcs centered on the gap, curving outward symmetrically on both sides. The arcs should spread wider than the gap width, demonstrating bending around the edges."
936,"Ensure equal spacing between adjacent arcs, identical to the spacing of the incident wavefronts approaching the barrier from the left."
937,"On Fig. 7.1, in the area before the barrier where wavefronts are parallel, draw a double-headed arrow perpendicular to the wavefronts, spanning the gap between two adjacent crest lines. Write ""λ"" beside the arrow."
938,"In Fig. 6.1, draw arrows rising from the wood burner to show warm air moving upward. Then, draw arrows sinking from the ceiling toward the burner to show cooler air descending. This forms a continuous loop, illustrating the convection current."
939,"On Fig. 2.1, draw a ruler aligned parallel to the coiled wire. Mark arrows indicating the start of the first loop and end of the last loop in the group. Label the distance between them as ""total width, W""."
940,"** Sketch the Sun at the center. Draw a flat, broad disc around it. Label the inner part ""hot region: rocky planets"" with small, dense circles. Label the outer part ""cold region: gas giants"" with larger circles surrounded by rings. Use arrows to show particles colliding and merging into larger bodies in both zones.**"
941,"Sketch a ripple tank with a clear boundary separating deep and shallow sections. Show straight wavefronts approaching the boundary at an angle, then bending as they cross it. Label the deeper region, shallower region, incident waves, and refracted waves."
942,"For all figures, sketch a standard setup: Fig. 1.3—spring balance with clay block hanging; Fig. 1.4—measuring cylinder with water at a specific level; Fig. 1.5—clay submerged in the same cylinder, showing a higher water level."
943,"Sketch showing a measuring cylinder with eye positioned perpendicular to the meniscus, highlighting the bottom curve of the meniscus aligned with the 56 cm³ mark."
944,"A rectangular block ABCD with a normal line perpendicular to side AB. Two incident rays are shown: one at 60° to the left of the normal, and another at 60° to the right. Optical pins are depicted as dots along the rays, with dotted lines extending behind the block to show ray paths."
945,"Simple circuit with diode, battery, ammeter in series, and voltmeter in parallel across diode."
946,"A rectangle representing a resistor, with a diagonal arrow crossing it from the top-left to the bottom-right. The arrow has an arrowhead at its midpoint, indicating the adjustable contact point."
947,"A rectangle representing the resistor, with an arrow pointing diagonally at the center of the rectangle. The arrow indicates the movable contact that allows the resistance to be adjusted."
948,"A vertical spring hanging from a fixed support. A ruler is clamped parallel to the spring, with its zero mark aligned with the top of the spring. A set square is shown touching both the ruler and the bottom of the spring, confirming alignment. An eye symbol indicates the observer viewing the ruler scale perpendicularly at the level of the spring’s end."
949,"Sketch two beakers—one with 75 cm³ water, another with 200 cm³—both with identical thermometers. Show steeper temperature decline on the 75 cm³ graph."
950,"A table with two columns. The first column heading is ""time / s"", and the second column heading is ""temperature / °C"". Rows below show numerical values without units, e.g., ""0, 80"", ""10, 75"", etc."
951,"Sketch of two beakers with identical shapes but different water levels. Arrows show heat escaping equally from both surfaces. Labels: ""Small volume: faster ΔT"" and ""Large volume: slower ΔT""."
952,"Arrow at eye level, pointing horizontally to bottom of meniscus curve."
953,"Fig. 1.4 shows a measuring cylinder with water. Draw a **horizontal arrow** positioned at eye level, pointing directly at the **bottom of the meniscus** curve. This ensures parallax error is avoided."
954,"Arrow drawn at the bottom of the meniscus, perpendicular to the scale to avoid parallax error."
955,"Arrow drawn perpendicular to the measuring cylinder, aligned with the bottom of the meniscus to avoid parallax error."
956,"A straight line emerging from CD, with two ✕ marks spaced ≥5 cm apart along the line."
957,"A rectangular transparent block with a normal line perpendicular to its surface. Two incident rays are shown: one at 60° from the left and another at 60° from the right, both refracting identically inside the block. Optical pins are placed on either side of the block to mark the ray paths."
958,"Fig. 3.2 shows an illuminated object, such as an arrow, with a height between 1.4 cm and 1.6 cm. The object is upright and clearly marked for measurement."
959,"A horizontal seesaw with a central pivot. Child A on the left, child B on the right. Child B is shown farther from the pivot than initially, with an arrow indicating clockwise rotation downward on child B's side."
960,"Sketch showing two lamps connected in parallel to a battery. Each lamp has its own direct path from the positive terminal to the negative terminal, with no shared path between them."
961,"Mark and label point **C** at the top of any upward peak of the sine wave, where pressure is maximum."
962,"Mark and label point **R** at the bottom of any downward trough of the sine wave, where pressure is minimum."
963,"A prism ABC with a light ray entering face AB perpendicularly. The normal is drawn as a dotted line at the entry point, showing the ray aligned with it. No bending is shown at the boundary."
964,"Sketch two labeled diagrams side by side. Left: A longitudinal wave shown as a series of compressed and spaced-out horizontal lines, with arrows indicating particle motion left/right parallel to the wave direction. Right: A transverse wave as a sine curve, with particles moving vertically perpendicular to the horizontal wave direction. Label compressions/rarefactions on the left and crests/troughs on the right."
965,A wave with parallel bands of high density [compressions] and low density [rarefactions] along the direction of propagation.
966,"A beaker with warm water; a small ice block floats near the surface. Particles in the ice are drawn as dots connected by springs, oscillating slightly. Particles in water are shown as dots with arrows indicating random, curved paths."
967,"A simple circuit with a battery, ammeter in series, voltmeter in parallel with the lamp, and variable resistor for control."
968,"At point P, draw a dashed straight line perpendicular to the prism surface. The normal should intersect the surface at exactly 90 degrees."
969,"At the first surface, draw the refracted ray bending toward the normal. The angle of refraction in glass should be smaller than the angle of incidence in air."
