,Prompt
421, Aggregate demand and aggregate supply curves with a negative output gap) 
422, Loanable funds market showing increased government borrowing) 
423," monopolistic competition in long run equilibrium with demand tangent to ATC at output Q, where P = ATC but P > MC). This contrasts with a monopoly’s steeper demand curve, allowing it to set higher prices at a lower output level (DIAGRAM: monopoly equilibrium with MR = MC, leading to price Pm > MC and Qm < allocatively efficient quantity). However, monopolistically competitive firms do not achieve productive efficiency in the long run, as they produce at an output level where ATC is not minimized, unlike a monopoly that may exploit economies of scale to reduce ATC. "
424," AD/AS model showing LRAS1 to LRAS2, with higher real GDP at Y2). This enhances long-term growth potential. Additionally, FDI injects funds into the circular flow of income, creating a multiplier effect. Initial investment raises incomes for local workers and suppliers, who then spend a portion of this income domestically, further stimulating demand and output. "
425," PPF shifting outward due to improved human capital), fostering long-term growth by enhancing workforce quality. Healthier, better-educated workers are more productive, reducing absenteeism and raising output. "
426," monopoly equilibrium with price Pm above competitive level Pc), reducing consumer surplus and allocative efficiency. Conversely, competition from MNCs could crowd out domestic firms unable to match their scale or technology, exacerbating unemployment if job losses in local industries exceed MNC-created employment. The net employment effect depends on the absorptive capacity of the labour market and whether MNCs prioritize local hiring for skilled roles. "
427," Firm’s short-run equilibrium with MC, ATC, and AR = MR = P intersecting above ATC, showing supernormal profit as the area between P and ATC at quantity Q.) However, free entry and exit drive long-run equilibrium. If supernormal profits exist, new firms enter, increasing industry supply and lowering price until it aligns with min ATC. (DIAGRAM: Industry supply curve shifting right, reducing price from P1 to P2, intersecting demand at a higher quantity.) Conversely, losses trigger exits, reducing supply and raising price. Ultimately, long-run equilibrium sees firms producing at min ATC (productive efficiency) and P = MC (allocative efficiency). (DIAGRAM: Firm’s long-run equilibrium with MC, ATC, and AR = MR = P intersecting at min ATC, quantity QLR.) This dual efficiency positions perfect competition as statically efficient, maximizing welfare under given conditions"
428," Monopoly with supernormal profits shaded, illustrating potential R&D funding absent in perfect competition.) Dynamic efficiency, critical for long-term growth, may thrive in monopolistic markets where firms reinvest profits. Additionally, perfect competition’s assumptions—perfect information, no barriers—are rarely met, making it an abstract benchmark. Governments may regulate imperfect markets to mimic competitive outcomes, such as price caps to align P with MC. Conversely, monopolies might exploit economies of scale, achieving lower ATC than smaller competitive firms. Thus, while perfect competition epitomizes static efficiency, its neglect of innovation and real-world constraints means its “ideal” status depends on prioritizing short-term resource allocation over long-term technological progress. Evaluated holistically, the statement holds for static efficiency but overlooks dynamic trade-offs, rendering its idealization context-dependent"
429," Two-panel figure with price-consumption curve on the left and demand curve on the right. The left panel shows successive budget lines pivoting as the price of Good X falls, with tangency points forming the price-consumption curve. The right panel plots the corresponding prices of Good X against quantities demanded, forming a downward-sloping demand curve.) "
430, Two-panel figure illustrating inferior good. The left panel shows a price decrease causing a small outward movement along the quantity axis due to the counteracting income effect. The right panel shows a steeper demand curve compared to the normal good case.) 
431," A production possibility frontier shifting outward for a low-income country due to FDI-induced technological advancements). Yet, profits repatriated to parent companies in high-income countries limit the retention of economic gains locally. Furthermore, MNCs may engage in regulatory arbitrage, leveraging weaker environmental or labour standards in low-income countries to reduce costs, exacerbating inequalities and environmental degradation. The resultant structural imbalances can perpetuate a cycle where low-income countries remain suppliers of cheap labour and resources, while high-income countries capture higher value-added activities, reinforcing global income disparities"
432," AD/AS model showing a rightward shift of aggregate demand from AD1 to AD2 due to lower interest rates, leading to higher real output Y1 to Y2 and reduced unemployment."
433," Exchange rate diagram showing depreciation from ER1 to ER2, leading to an increase in exports from X1 to X2 and a contraction in imports, improving the trade balance."
434, competitive market equilibrium vs monopoly equilibrium) 
435, LRAC curve showing economies of scale) 
436," Positive externality diagram with MPC, MSC, MPB, and MSB curves. The private market equilibrium at Q1, where MPC=MPB, results in underconsumption relative to the socially optimal quantity Q2 at MSC=MSB. The shaded area between Q1 and Q2 represents the welfare loss from underprovision."
437," Monopoly diagram showing profit-maximizing private firm producing at Qm where MR=MC, charging price Pm above competitive price Pc. The deadweight loss triangle highlights allocative inefficiency from underproduction."
438," AD/AS model showing a leftward shift of AD from AD1 to AD2, leading to a lower price level P2 and real output Y2.) This mechanism operates through the monetary transmission process: higher interest rates reduce consumption and investment, decreasing output and employment in the short run, which eventually lowers inflationary pressures as firms reduce price increases amid weaker demand"
439," Phillips curve showing movement along the curve from a point with high inflation and low unemployment to one with lower inflation and higher unemployment.) Similarly, lower aggregate demand reduces economic growth, as real GDP contracts from Y1 to Y2 in the AD/AS diagram. Higher interest rates may also affect the balance of payments. An increase in rates could appreciate the domestic currency due to capital inflows seeking higher returns, making exports more expensive and imports cheaper. If the Marshall-Lerner condition holds—where the sum of price elasticities of demand for exports and imports exceeds one—the trade balance may worsen in the short run (J-curve effect), though it could improve in the long term as elasticities adjust. (DIAGRAM: J-curve showing initial deterioration followed by gradual improvement in the trade balance post-currency appreciation."
440," AD/AS model with real GDP on the horizontal axis and price level on the vertical axis. The AD curve shifts right, intersecting the upward-sloping short-run AS curve at a higher equilibrium output and moderately higher price level.) "
441," LRAC curve with MES marked at Q*, alongside a market demand curve. If the horizontal distance between Q* and total demand is small, the market structure tends towards oligopoly or monopoly. If the distance is large, perfect competition is feasible.) "
442," Positive externality diagram with MPB, MSB, and MPC curves. Initial equilibrium at Q1, subsidy shifts MPC downward, new equilibrium at Q2 with shaded welfare gain.) "
443," Negative externality diagram with MSC above MPC. Tax shifts supply left, equilibrium moves from Q1 to Q2, with shaded deadweight loss eliminated.) "
444," A production possibility frontier (PPF) with agricultural goods on one axis and manufactured goods on the other. An outward shift in the PPF illustrates productivity gains, enabling higher output levels for both goods.) "
445," A labour market diagram with wage rate on the vertical axis and quantity of labour on the horizontal axis. A leftward shift in labour demand from D1 to D2 due to automation, resulting in equilibrium wage W2 lower than W1 and higher unemployment at Q2-Q1.) "
446," AD/AS model with AD1 shifting left to AD2, leading to lower real output Y1 to Y2 and higher unemployment) illustrates this contraction. The resultant fall in real output reduces derived demand for labor, increasing cyclical unemployment—unemployment caused by insufficient demand in the economy. For example, if the government cuts infrastructure spending, construction firms may lay off workers, amplifying unemployment. Additionally, higher taxes on consumers reduce consumption of domestically produced goods, further depressing output and employment"
447," foreign exchange market with supply of currency increasing, leading to a fall in exchange rate from E1 to E2), making exports cheaper and imports more expensive. Over time, this improves the trade balance, reducing the current account deficit. Furthermore, if the surplus is sustained, reduced government debt could lower inflationary pressures, enhancing export competitiveness through stable prices. However, this assumes that lower AD from fiscal contraction does not stifle productive capacity or investment in export industries, which could undermine long-term competitiveness"
448," Two demand curves for separate markets, labelled Market A and Market B. In Market A, demand is inelastic, represented by a steeper curve, while Market B has elastic demand with a flatter curve. The monopolist sets MR = MC in both markets, leading to higher price P1 in Market A and lower price P2 in Market B.) "
449," Positive externality in education with MPC, MSC, MPB, MSB curves. Initial equilibrium at Q1 where MPC = MPB, socially optimal at Q* where MSC = MSB. Subsidy shifts MPC to MPC + subsidy, aligning output closer to Q*.) "
450," PPF shifting right due to capital goods imports). Foreign direct investment (FDI) from multinational corporations introduces advanced technology and managerial expertise, raising productivity in sectors like manufacturing. Higher productivity increases wages and employment, lifting GDP per capita. Simultaneously, technology transfer reduces production costs, enabling firms to lower prices or reinvest profits into expansion, further stimulating economic growth. "
451," downward-sloping demand curve for primary goods leading to falling prices). Exploitation by foreign firms, such as underpayment of labour or environmental degradation, could offset wage gains. Moreover, FDI might concentrate in extractive industries with limited employment linkages, failing to stimulate broader economic development. "
452," A standard aggregate demand and aggregate supply model showing a leftward shift of the AD curve from AD1 to AD2, resulting in a lower equilibrium price level P2 and lower real output Y2 compared to the initial equilibrium at Y1 and P1. The vertical axis represents the price level, and the horizontal axis represents real output."
453, Monopoly equilibrium versus competitive market) 
454, Long-run average cost curve with economies of scale) 
455," Negative externality of production diagram with quantity on the horizontal axis and cost/benefit on the vertical axis. The MPC curve lies below the MSC curve, reflecting external costs. The MSB curve is equivalent to MPB. The market equilibrium quantity Q1 is where MPC = MPB, while the socially optimal quantity Q* is where MSC = MSB. The welfare loss is represented by the triangle between Q* and Q1, bounded by MSC and MSB.) "
456," PPF curve shifting outward from FDI-induced capital accumulation), enabling greater real output and income. Employment opportunities generated by new factories reduce unemployment, raising household incomes and consumption levels. Increased tax revenue from corporate profits and worker incomes allows governments to allocate more resources to public goods like healthcare and education, directly improving living standards. Additionally, spillover effects may occur if domestic firms adopt MNCs’ technologies or practices, further boosting productivity. "
457," AD/AS model showing rightward shift in AD due to investment), stimulating secondary industries and creating indirect employment. Higher national income facilitates progressive taxation, redistributing wealth to fund welfare programs. However, these theoretical benefits depend on the FDI’s sectoral focus. Labor-intensive FDI generates more employment than capital-intensive projects, which may prioritize automation. "
458," AD/AS model showing a leftward shift in SRAS due to higher import costs and a rightward shift in AD from increased exports, leading to a higher price level at equilibrium."
459," Monopsony labour market with supply curve S, MCL curve above S, MRPL curve intersecting MCL at Q1, wage W1 on S curve below competitive wage Wc.) "
460," Labour market with demand curve D, supply curve S, union wage Wu above equilibrium, creating excess supply (unemployment) equal to Qs minus Qd.) "
461," Labour demand curve shifting from D1 to D2 due to higher MRPL, increasing equilibrium wage and employment from W1, Q1 to W2, Q2.) "
462," A graph with quantity on the horizontal axis and price/benefit on the vertical axis. The private marginal benefit (PMB) curve slopes downward, intersecting the supply curve (PMC) at equilibrium quantity Q1. The SMB curve lies above PMB, intersecting PMC at Q*. The welfare loss is represented by the triangle between Q1 and Q*, bounded by SMB and PMC.) "
463," An aggregate demand-aggregate supply diagram showing a rightward shift of AD due to increased exports and consumption, leading to higher output and employment in the short run.) However, this mechanism assumes price elasticity of demand for exports and imports—if foreign demand for exports is inelastic, depreciation may not significantly increase export volumes, limiting the reduction in unemployment. Additionally, the effectiveness of this policy depends on the type of unemployment: structural unemployment, caused by mismatches between worker skills and job requirements, would not be resolved by exchange rate adjustments. "
464," A cost-push inflation diagram showing a leftward shift of the short-run aggregate supply curve due to higher import costs, leading to higher prices and lower output.) Furthermore, a floating regime allows the central bank to pursue independent monetary policy, which, if overly expansionary, could lead to demand-pull inflation. For instance, persistently low interest rates might overstimulate aggregate demand, pushing output beyond the economy’s productive capacity and creating upward pressure on wages and prices. However, the extent of inflation depends on the economy’s spare capacity. If unemployment is high and resources are underutilized, increased demand may not immediately trigger inflation. "
465," A high dependency ratio shifts the production possibilities frontier inward for consumer goods relative to capital goods, reducing long-term growth potential. This illustrates how resource allocation toward immediate consumption for dependents limits investment in productive capacity"
466," A labor market diagram in the host country showing an outward shift in demand for labor due to MNC entry, leading to higher equilibrium wages and employment levels. This illustrates how MNCs can increase income and reduce unemployment, directly improving living standards. DIAGRAM: A production possibility frontier (PPF) for the host country, demonstrating how technology transfer from MNCs shifts the PPF outward, enabling greater production of goods and services without additional resources. "
467," An aggregate demand-aggregate supply diagram showing a positive output gap. The long-run aggregate supply curve (LRAS) is vertical at potential output Yp. The short-run aggregate supply curve (SRAS) intersects aggregate demand (AD) at equilibrium point E1, where actual output Y1 exceeds Yp, creating inflationary pressure as the price level rises from P1 to P2.) "
468," A production possibility frontier (PPF) illustrating a negative output gap. The economy produces at point A inside the PPF curve, indicating underutilisation of resources. Fiscal stimulus could shift output toward the PPF boundary at point B, closing the gap.) "
469," A production possibility frontier (PPF) shifting outward illustrates economic growth, with the economy moving from a point inside the curve to one closer to the new frontier, indicating more resources available for both consumer goods and public services"
470," A Lorenz curve shifting away from the line of equality demonstrates rising income inequality, where GDP growth accrues primarily to higher-income groups. Furthermore, focusing solely on output expansion might neglect leisure time and mental well-being, as longer working hours or stressful labor conditions could accompany growth. Overexploitation of non-renewable resources might also render growth unsustainable, jeopardizing future development. For example, a nation prioritizing manufacturing output might experience rising GDP per capita but face water scarcity or deforestation, harming agricultural communities and biodiversity"
471," A standard supply and demand graph for labour, with demand labelled as MRP and supply as S, intersecting at equilibrium point (Q1, W1). This outcome suggests that free market forces achieve optimal resource allocation without government interference, as any deviation from W1 would create surpluses or shortages corrected by price adjustments"
472," A monopsony graph showing MRP, MCL, and supply curves, with equilibrium at (Q2, W2), below the competitive outcome). This underemployment and wage suppression represent market failure, as the social benefit of additional employment (MRP) exceeds the wage paid, justifying government intervention. A minimum wage set at the competitive level (W1) can transform the MCL curve into a horizontal line up to Q1, forcing the monopsonist to pay W1 and hire Q1 workers, aligning private and social optima"
473," Competitive labour market with minimum wage (Wmin) above W1, showing unemployment as the gap between Qs and Qd at Wmin). Conversely, in monopsony, the same policy eliminates underpayment and underemployment, enhancing efficiency. Elasticities further influence outcomes: if labour demand is inelastic (e.g., essential skilled workers), a higher wage causes minimal job losses, whereas elastic demand (e.g., low-skilled roles easily automated) exacerbates unemployment. Similarly, elastic labour supply (mobile workers) mitigates wage disparities, while inelastic supply (geographically immobile workers) heightens monopsony power"
474," Union wage Wu above W1 in a competitive market, showing unemployment; or in monopsony, Wu set between W2 and W1, increasing employment towards Q1). Discrimination, another market imperfection, distorts wages below MRP for marginalised groups. Anti-discrimination laws enforce wage parity, rectifying allocative inefficiency"
475, Indifference curve analysis of price rise) 
476," In the Keynesian cross model, an upward shift in aggregate expenditure (AE) due to increased government spending (G) leads to a higher equilibrium income (Y), reducing unemployment as output expands. This assumes idle resources, where higher demand does not immediately cause inflation but instead absorbs unused capacity"
477," In the loanable funds market, government borrowing shifts the demand curve rightward, increasing the equilibrium interest rate (r), which reduces private sector borrowing for capital investment. This offsets the initial demand stimulus, leaving aggregate demand unchanged or even lower in the long run. Additionally, if deficits are monetized (financed by central bank money creation), the resulting increase in the money supply could lead to inflation, particularly near full employment. Monetarists also highlight structural and frictional unemployment, which arise from labor market inefficiencies, skill mismatches, or rigidities like minimum wages and unionization. For these forms of unemployment, supply-side policies—such as reducing income taxes to incentivize work, cutting corporation taxes to spur investment, deregulating labor markets to enhance flexibility, and privatizing state enterprises to improve efficiency—are deemed more effective. These measures aim to increase the economy’s productive potential by shifting the long-run aggregate supply (LRAS) curve rightward. DIAGRAM: A rightward shift in LRAS lowers the natural rate of unemployment (NRU) by aligning labor demand and supply through market-driven wage adjustments and improved matching processes"
478," A circular flow diagram should show exports as an injection into the income flow, leading to an expanded loop of income between households and firms, with arrows indicating increased output, employment, and consumption. The multiplier effect is represented by successive rounds of spending, amplifying the initial export revenue"
479," A supply and demand diagram for primary goods could illustrate inelastic demand curves and shifts in supply due to external shocks, leading to significant price volatility, which destabilizes export revenues and national income"
480," A Keynesian cross or AD-AS model illustrating the multiplier effect of government spending, with the initial increase in expenditure leading to a larger overall rise in income and output through successive rounds of spending"
481," A long-run Phillips Curve showing the natural rate of unemployment as a vertical line, where demand-side policies shift the short-run curve but fail to alter the long-run equilibrium"
482," A monopoly diagram showing the deadweight loss triangle between Qm and Qc, with Pm above Pc. This illustrates the divergence between private and social optima. Furthermore, in markets with negative externalities—such as pollution—dominant firms may overproduce if they do not internalize the social costs of their actions, leading to a misallocation of resources where the marginal social cost exceeds the marginal private benefit. "
483," A supply and demand graph showing a tax shifting the supply curve from S1 to S2, reducing equilibrium quantity from Q1 to Q2, where MSC = MSB. Price controls, such as price caps in natural monopolies, can limit the ability of dominant firms to set monopolistic prices. Regulatory bodies may enforce rate-of-return regulations or marginal cost pricing to ensure prices reflect true production costs. Antitrust legislation, including laws prohibiting collusion or abuse of dominance, can dismantle barriers to entry and promote competition. For example, structural remedies like divestiture break up firms into smaller entities, while behavioral remedies mandate fair pricing practices. Public ownership or nationalization may be employed in natural monopolies where competition is unfeasible, allowing the government to directly manage pricing and output to achieve efficiency. "
484, LRAS shifting right due to improved technology).
485, A diagram illustrating MRP curves for two occupations would show a steeper MRP curve for high-skilled jobs intersecting labor supply at a higher wage (W1) compared to a flatter MRP curve for low-skilled jobs intersecting at a lower wage (W2). This reflects productivity-driven differentials
486," A monopsony diagram shows the labor supply curve (upward-sloping), marginal labor cost curve (steeper than supply), and MRP curve. The profit-maximizing employment level (Qm) occurs where MLC = MRP, with the wage (Wm) read off the labor supply curve, below the competitive wage (Wc). This gap between MRP and Wm represents exploitation, as workers are paid less than their marginal contribution. However, in competitive markets, wages aligning with MRP suggest differentials reflect productivity rather than exploitation. Thus, the link between wage differentials and exploitation is contingent on market imperfections"
487, A PPF shifting from PPF1 to PPF2 illustrates the potential for MNC investment to enhance an economy’s maximum output of goods and services).
488," An appreciation of the exchange rate from ER1 to ER2 on a supply-demand diagram for foreign currency shows reduced export competitiveness). Conversely, MNCs exporting goods may improve the trade balance, depending on the elasticity of demand for these goods."
489," A PPF shifting inward due to environmental degradation reflects unsustainable practices). Conversely, MNCs focused on renewable energy or sustainable practices could enhance long-term growth by aligning with environmental goals. Inflationary pressures present another risk. Increased demand from MNC-driven employment and spending could raise price levels, particularly in supply-constrained economies, eroding purchasing power and destabilizing macroeconomic conditions."
490," The Keynesian cross model illustrates how an increase in government spending shifts the aggregate expenditure curve upward, leading to a higher equilibrium level of income and output, reducing unemployment"
491," The loanable funds model shows that increased government demand for funds shifts the supply curve leftward, raising equilibrium interest rates and reducing private sector borrowing. Additionally, in an open economy, higher interest rates may attract foreign capital, appreciating the exchange rate and worsening the balance of payments by making exports more expensive and imports cheaper. This could negate the benefits of fiscal expansion, particularly if the economy relies on export-led growth. Furthermore, if the economy is near full capacity, fiscal stimulus may cause demand-pull inflation rather than reduce unemployment, as firms face rising input costs and struggle to expand output"
492," A standard supply and demand diagram shows equilibrium at the intersection of supply (marginal cost) and demand (marginal benefit), with no deadweight loss. However, real-world markets often deviate from perfect competition due to monopolies, externalities, asymmetric information, or public goods. For instance, monopolies restrict output to raise prices above marginal cost, creating allocative inefficiency (DIAGRAM: monopoly equilibrium where P > MC, with deadweight loss triangle). Negative externalities, such as pollution, lead to overproduction, as private marginal costs diverge from social marginal costs (DIAGRAM: supply curve shifting left to reflect social costs, illustrating excess production at market equilibrium). Public goods, being non-excludable and non-rivalrous, suffer from free-rider problems, resulting in underprovision by the market. These instances of market failure justify potential government intervention to realign private incentives with social welfare"
493," a firm’s cost curves showing the lowest point of the LRAC as productive efficiency). This implies no resources are wasted in the production process, as inputs are combined in the most cost-effective manner. Allocative efficiency, by contrast, arises when resources are distributed such that the price of a good equals its marginal cost of production (P = MC), ensuring that the quantity supplied reflects consumer preferences and maximizes the net social benefit. This equilibrium is illustrated by the intersection of supply and demand curves in a perfectly competitive market (DIAGRAM: supply and demand curves intersecting at equilibrium, with shaded areas representing consumer and producer surplus). In such a scenario, no reallocation of resources can improve one individual’s welfare without reducing another’s, satisfying the Pareto optimality condition"
494," supply curve shifting left after a tax, reducing equilibrium quantity to the socially optimal level). Subsidies for merit goods, like healthcare, can correct under-consumption by lowering effective prices. Regulation, such as antitrust laws, can dismantle monopolistic structures to promote competition. Public provision of goods like national defense directly addresses free-rider problems. Additionally, behavioral interventions like nudge theory, which alters choice architectures without restricting options, can steer individuals toward decisions that enhance collective welfare—for example, default enrollment in pension schemes to combat inertia in saving behavior. These tools aim to realign market outcomes with societal efficiency goals"
495," A production possibility frontier (PPF) illustrates productive efficiency, where points on the curve represent maximum output combinations achievable with given resources. Points inside the curve denote inefficiency, while allocative efficiency is represented by the specific point on the PPF that reflects societal preferences."
496," A negative externality diagram shows the divergence between the market equilibrium (where MPC = MPB) and the socially optimal output (where MSC = MSB), with the deadweight loss highlighting the welfare cost of unregulated markets"
497," A perfectly competitive market equilibrium shows price equal to marginal cost, with supply and demand intersecting at the point where allocative efficiency is achieved."
498," A monopoly equilibrium illustrates higher prices and lower output compared to perfect competition, with a deadweight loss triangle highlighting welfare loss."
499," In a perfectly competitive labor market, the downward-sloping MRP curve (demand for labor) intersects the upward-sloping labor supply curve at equilibrium wage W1 and employment level Q1. Here, W1 equals MRP, illustrating productive and allocative efficiency"
500," Under monopsony, the marginal cost of labor curve lies above the labor supply curve. The profit-maximizing employment level occurs where marginal cost equals MRP, leading to wage W2 (below MRP) and employment Q2, creating a welfare loss. Here, the ""best level"" of wages suggested by competitive theory does not materialize, as firms exploit their market power to suppress wages, justifying interventions like minimum wage laws or collective bargaining by trade unions to raise wages closer to MRP"
501," A budget constraint shifts from BC1 to BC2 after a price decrease. The substitution effect moves consumption from point A to B along the original indifference curve IC1, while the income effect shifts consumption from B to C on IC2."
502," An outward shift of the PPC illustrates economic growth through increased productive capacity). Similarly, investment in education elevates human capital, fostering innovation and productivity gains—a principle central to endogenous growth theory, where knowledge and technology drive long-term growth. Government spending may also generate multiplier effects, where initial injections of investment stimulate further economic activity through increased consumption and private sector responses. "
503," A firm’s cost curves showing the lowest point of the LRAC as the productively efficient output). Allocative efficiency arises when resources are distributed to produce the quantity of goods where price equals marginal cost (P = MC), ensuring consumer preferences align with opportunity costs (DIAGRAM: A supply and demand graph with equilibrium at P = MC, illustrating allocative efficiency). Under perfect competition, firms are forced to minimize costs due to rivalry, achieving productive efficiency, while market prices adjust to reflect marginal costs, satisfying allocative efficiency. This theoretical outcome suggests the free market optimally balances consumer welfare and producer incentives. "
504," A supply curve shifting left to reflect social marginal costs, showing the welfare loss from overproduction). Positive externalities, such as education, cause underproduction, as private benefits fall short of societal gains. Public goods, which are non-excludable and non-rivalrous, face free-rider problems, deterring private provision. Merit goods, like healthcare, are undervalued by consumers due to information asymmetries, leading to underconsumption. Monopolistic markets distort outcomes, as firms restrict output and raise prices above marginal cost, causing allocative inefficiency (DIAGRAM: A monopoly diagram with output where MR = MC, highlighting deadweight loss). These failures justify government intervention through taxation to internalize external costs, subsidies to encourage merit goods, regulation to curb monopolistic power, and direct provision of public goods. "
505," A cartel agreement shifts supply from S1 to S2, raising equilibrium price from P1 to P2 and reducing output from Q1 to Q2). Tacit collusion, such as price leadership, occurs when one dominant firm sets prices and others follow, avoiding formal agreements. Collusion reduces uncertainty by aligning firms’ strategies, but it relies on trust and the absence of cheating. The prisoner’s dilemma highlights the instability of collusion: individual incentives to undercut agreements often lead to breakdowns, as firms prioritize short-term gains over collective long-term benefits. "
506," Firm A’s demand curve shifts right from D1 to D2 due to successful branding, allowing it to charge higher prices at P2 without losing market share). Product differentiation, through innovation or quality improvements, reduces direct substitutability between rival goods, insulating firms from price-based competition. However, non-price competition raises firms’ costs, which may be passed to consumers through higher prices. While this strategy stabilizes market shares, it can lead to allocative inefficiency if resources are diverted from productive uses to marketing or superficial differentiation. "
507," A circular flow diagram illustrating injections and withdrawals intersecting at equilibrium income, Y_e, with AD and AS curves intersecting at the same point."
508," A supply and demand graph showing the divergence between MPC and MSC, with the free market equilibrium quantity Q1 exceeding the socially optimal quantity Q2. A tax shifting the supply curve from S1 to S2 would align MPC with MSC, reducing output to Q2.) Conversely, positive externalities, such as education, result in underconsumption as marginal social benefit (MSB) exceeds marginal private benefit (MPB), necessitating subsidies to bridge the gap"
509," A monopoly profit maximization diagram shows a firm setting output where marginal revenue equals marginal cost, resulting in a price above marginal cost and a deadweight loss triangle representing allocative inefficiency. This divergence from the competitive equilibrium illustrates how market power distorts resource allocation"
510," A kinked demand curve model for oligopolies demonstrates price rigidity, where firms avoid price changes to prevent retaliatory responses, leading to collusive outcomes that harm consumer welfare. Such concentration exacerbates income inequality, as monopolistic profits disproportionately benefit shareholders rather than workers or consumers. Furthermore, the absence of competitive pressure reduces dynamic efficiency, as dominant firms may neglect long-term innovation, relying instead on rent-seeking behaviors"
511," A graph with indifference curves and a budget line tangent to one curve at point E, illustrating equilibrium where MRS = price ratio."
512," A series of budget lines with varying slopes intersecting indifference curves, with corresponding demand curve plotting price against quantity.) Thus, indifference curves indirectly incorporate prices and income through budget constraints, enabling demand derivation"
513," A standard demand and supply diagram intersecting at equilibrium, with consumer surplus as the area below the demand curve and above the price, and producer surplus as the area above the supply curve and below the price. This illustrates the maximization of total surplus at equilibrium."
514," A shift in the demand curve to the right, showing the new equilibrium with higher price and quantity, illustrating how price signals reallocate resources.) Similarly, technological advancements reduce production costs, shifting the supply curve outward and lowering prices, which expands consumer access to the good. These adjustments occur without central coordination, demonstrating the price mechanism’s capacity to decentralize decision-making while maintaining efficiency"
515," A supply curve shifting leftward to internalize external costs, showing the divergence between private and social equilibrium.) Public goods, which are non-excludable and non-rivalrous, suffer from free-rider problems, leading to underprovision by the market. Information asymmetry, such as in markets for used cars or healthcare, results in adverse selection or moral hazard, distorting price signals and reducing welfare. Merit goods, like education, are underconsumed in free markets because individuals undervalue their long-term benefits, while demerit goods, like cigarettes, are overconsumed due to imperfect information. Income inequality further undermines the price mechanism’s welfare claims, as resources are allocated based on purchasing power rather than need, potentially excluding low-income groups from essential goods. Market power, such as monopolies, allows firms to set prices above marginal cost, creating deadweight loss. (DIAGRAM: A monopoly profit-maximizing at MR=MC, with price above marginal cost and a deadweight loss triangle.) Price rigidity, caused by factors like menu costs or wage stickiness, can delay adjustments to equilibrium, prolonging inefficiencies during economic shocks"
516," The short-run equilibrium of a perfectly competitive firm is illustrated by the intersection of MR and MC above ATC (supernormal profits), at ATC (normal profits), or below ATC (losses). However, in the long run, free entry and exit of firms ensure that all firms produce at the minimum point of their long-run average cost (LRAC) curve, earning only normal profits. This long-run equilibrium is characterised by both allocative efficiency (P = MC) and productive efficiency (P = minimum ATC), as firms operate at optimal scale with zero economic profit. DIAGRAM: The long-run equilibrium under perfect competition shows a firm producing at the lowest point of the LRAC curve, with the market supply curve adjusting to intersect demand at this efficient output level"
517," The monopoly equilibrium is depicted by the MR and MC intersection, with price determined on the demand curve above MC, creating a deadweight loss triangle. Unlike perfect competition, monopolies can sustain supernormal profits in both the short and long run due to barriers to entry, such as patents, economies of scale, or control over essential resources. While a monopoly may achieve productive efficiency if it minimises costs, this is not guaranteed, as the lack of competitive pressure reduces incentives to innovate or reduce costs. DIAGRAM: A monopoly operating at an output level where ATC is not minimised illustrates productive inefficiency, with excess capacity compared to the perfectly competitive output"
518," A perfectly competitive market equilibrium at the intersection of supply and demand curves, illustrating allocative efficiency where P = MC. Monopoly equilibrium contrasted, showing deadweight loss where P > MC."
519," In a perfectly competitive market, the equilibrium price and quantity occur at the intersection of supply and demand curves, with supply representing marginal cost and demand reflecting marginal benefit. This equilibrium implies no deadweight loss, indicating efficiency. However, the complexity of modern economies introduces deviations from these ideal conditions. Markets are often characterized by monopolistic competition, oligopolies, or monopolies, where firms possess market power. A monopolist restricts output to set prices above marginal cost, creating a deadweight loss (DIAGRAM: Monopoly equilibrium shows higher price and lower quantity than competitive equilibrium, with a welfare loss triangle). This undermines allocative efficiency, as resources are under-allocated to the monopolized sector. Furthermore, externalities—unpriced spillover effects on third parties—distort market outcomes. Negative externalities, such as pollution, lead to overproduction relative to the social optimum, as private marginal costs diverge from social marginal costs (DIAGRAM: Negative externality graph shows market equilibrium quantity exceeding socially optimal quantity). Positive externalities, like education, result in underproduction. Public goods, which are non-excludable and non-rivalrous, face free-rider problems, causing underprovision by the market. Information asymmetry, where one party possesses more knowledge than another, leads to adverse selection and moral hazard, further impairing efficiency. These market failures suggest that the invisible hand alone may fail to allocate resources optimally in complex economies. However, market mechanisms can adapt through internalizing externalities via Coasian bargaining if property rights are well-defined and transaction costs are low. Technological advancements also mitigate information gaps, enhancing price transparency and reducing search costs. Additionally, entrepreneurial innovation driven by profit motives can address inefficiencies, fostering dynamic efficiency over time."
520," The aggregate demand and supply model illustrates this process. A fall in interest rates shifts the aggregate demand curve to the right, increasing equilibrium GDP from Y1 to Y2, assuming spare capacity exists in the economy. However, this analysis relies on assumptions such as ceteris paribus—holding other factors constant—and rational responsiveness of economic agents to price signals"
521, A set of indifference curves intersecting with a budget line. The point of tangency at equilibrium shows the utility-maximising combination of goods X and Y.
522," A demand curve derived from successive equilibrium points as the price of X falls, showing an inverse relationship between price and quantity demanded."
523," A perfectly competitive firm’s cost curves show equilibrium at the intersection of demand (price) and marginal cost, with output at the lowest point of the average cost curve, illustrating simultaneous productive and allocative efficiency"
