,Question,Mark Scheme,Question Type
817,"Discuss why in most mixed economies, resources are mainly allocated using market forces and the price mechanism. [12]","b

Up to 8 marks for Analysis

Analysis of market forces/price mechanism element (Up to 4 marks)
Analysis of government intervention element (the use of the word‘mainly’ makes it clear that market forces/price mechanism is not the exclusive method of resource allocation) (Up to 4 marks)

8 marks maximumUp to 4 marks for EvaluationFor exercising some judgement on why in most mixed economies, resources are mainly, but not exclusively, allocated using market forces and the price mechanismReserve 1 mark for a conclusion4 marks maximum


Features of market forces:• existence of price mechanism• prices operate as signals to indicate consumer preferences• private sector ownership/decision-making with no or very little government interventionFeatures of government intervention:• existence of public sector• public goods and merit goods can be provided by the government


","AS-Level, [12] marks"
818,"Using diagrams, explain what might cause a market to be in disequilibrium, and how market forces would lead to equilibrium being restored. [8]","a
For knowledge and understanding: using a diagram to show equilibrium in a market (1 mark) with a clear statement of what is meant by ‘equilibrium’ (1 mark) 2 marks For application: that shows disequilibrium in a market and why it might arise. A shift in the demand or supply curve (1 mark) with a cause of this shift (1 mark) and the disequilibrium in terms of an excess demand or excess supply (1 mark) and the new equilibrium price and quantity indicated (1 mark) And application that explains how the new equilibrium is restored by market forces (Up to 2 marks)
8
A market is in equilibrium when, given present circumstances, there is no tendency for change. In other words demand and supply are equal with an equilibrium price and quantity. The market clears at this point. Disequilibrium will occur when either the demand curve or supply curve shifts. Change will have to come about to restore equilibrium. Equilibrium is restored through price changes or changes in demand and/or supply in the market. Accept maximum or minimum prices as a cause of disequilibrium.

","AS-Level, [8] marks"
819,Discuss whether the incidence of an indirect tax on a product always affects its consumers more than its producers. [12],"b
Analysis: Up to 4 marks for an explanation of the incidence of an indirect tax and how it affects consumers in terms of the price paid and the consumer surplus with due reference to the price elasticity of demand and supply. Up to 4 marks for an explanation of the incidence of an indirect tax and how it affects producers in terms of the price received and the producer surplus with due reference to the price elasticity of demand and supply. 8 marks max Up to 4 marks for evaluation. Reserve 1 mark for a clear conclusion of whether it is always consumers rather than producers who are most affected. Up to 4 marks maximum
12
Incidence refers to the relative impact of an indirect tax on consumers and producers. The extent of the incidence depends on the price elasticity of demand and supply of the product. The more inelastic the PED, the greater the burden of the tax on consumers and so on. Evaluative comment might consider those goods that are habit forming and often considered as demerit goods in terms of the impact of an indirect tax on incidence and consumption.


","AS-Level, [12] marks"
820,"China's terms of trade index fell from 102.1 in March 2018 to 99.7 in April 2018.

State how the terms of trade are measured, and explain three possible causes of the fall in China's terms of trade shown above. [8]","a
For knowledge and understanding that the terms of trade is a measure of the relationship between export prices and import prices (1 mark) and for an accurate formula that measures changes in the terms of trade index (1 mark)       (2 marks) For application explaining three possible causes of a fall in the terms of trade (Up to 2 marks for each cause explained)       (Up to 6 marks)
8
Possible causes of a fall in the terms of trade include a fall in the price of China's exports or a rise in the price of China's imports. Candidates need to identify a possible cause and then provide a brief explanation of what might cause this. For example: • a fall in the value of China's currency will lead to a rise in the price of imports (1 mark) the fall in the exchange rate could be caused by falling interest rates in China (1 mark) • a reduction in the costs of production in China's export industries would lead to a fall in the price of China's exports (1 mark) this reduction in costs could be caused by an increase in export subsidies (1 mark) • a higher rate of inflation in China's trading partners would lead to the relative price of China's exports falling (1 mark) this higher rate of inflation in other countries could be caused by excess government spending in those countries (1 mark)

","AS-Level, [8] marks"
821,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Discuss whether a rise in the terms of trade or a fall in the terms of trade is more likely to be of benefit for an economy. [12]","b
For an analysis of the advantages and disadvantages to an economy of a rise in the terms of trade (Up to 4 marks) For an analysis of the advantages and disadvantages to an economy of a fall in the terms of trade (Up to 4 marks) For evaluative comment with 1 mark reserved for a reasoned conclusion
12
A rise in the terms of trade means that a given quantity of exports can purchase a greater quantity of imports and the opposite is true for a fall in the terms of trade. If the terms of trade rise exports might become uncompetitive however there is a potential rise in living standards. If there is a fall in the terms of trade exports become competitive, but inflation might rise as imports become expensive giving rise to cost-push inflation.


","AS-Level, [12] marks"
822,Explain how the factor of production enterprise contributes to aggregate supply in a modern economy and how it differs from the other factors of production in terms of the reward for its services. [8].,"a
For knowledge and understanding of the role of enterprise in the production process in a modern economy: Enterprise undertakes the organisation of the other factors of production (1 mark) It also bears the risk of production (1 mark)       (2 marks) For application: Profit is the reward to enterprise for its services (1 mark) In order to produce goods and services enterprise needs to hire labour which is rewarded with wages (1 mark), land which is the natural resource rewarded with rent (1 mark) and capital which is rewarded with interest (1 mark) Enterprise will utilise the other factors of production to produce goods and services that increase aggregate supply (1 mark). Aggregate supply will increase through an increase in productive potential or a fall in unused resources. (1 mark)        (Up to 6 marks)

Enterprise takes the risk of production and organises the other factors. In a modern economy this often leads to the divorce of ownership (shareholders) from control (management). Profit is the reward for enterprise, but profit is the reward for risk and in loss making firms there will be no profit. This contrasts with the rewards to labour, land and capital. Aggregate supply, also known as total output, is the total supply of goods and services produced within an economy in a given time period. In order to contribute to aggregate supply enterprise organises the other factors of production and takes the risk that costs will not exceed revenue leading to negative profit.

","AS-Level, [8] marks"
823,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Explain how aggregate demand is likely to be affected by an increase in the money supply and consider whether the impact of such an increase will be on employment or on the general price level. [12]","b
For analysis of the way in which aggregate demand will be affected by an increase in the money supply through an explanation of the impact on at least two components (Up to 4 marks for each component considered)       8 marks maximum For evaluative comment on whether the impact is likely to be on employment or the general price level with 1 mark reserved for a reasoned conclusion (Up to 4 marks)

Candidates need to explain how the increase in the money supply will affect the selected component. For example, if consumption is considered it is expected that candidates will explain that the increase in money supply will reduce interest rates and make loans cheaper and the reward for saving lower with the result that consumption will increase.


","AS-Level, [12] marks"
824,"In some countries vaccinations against infectious diseases are offered at a price and payment has to be made.

Use a diagram to explain how a subsidy given to producers in the market for vaccinations will affect the market price and explain the impact of this subsidy upon the consumer surplus in this market. [8]","a
For knowledge and understanding of the meaning of consumer surplus (2 marks)             Up to 2 marksFor application using an accurately labelled diagram that shows the shift to the right of the supply curve (1 mark) and the fall in equilibrium price and rise in equilibrium quantity of vaccinations (1 mark). For the consumer surplus before the subsidy (1 mark) and the rise in consumer surplus after the subsidy (1 mark) For application that explains one other factor that determines the fall in price for e.g. the price elasticity of demand, the price elasticity of supply or the size of the subsidy (1 mark) that explains one other factor that determines the change in the consumer surplus for e.g. the price elasticity of demand, the price elasticity of supply or the size of the subsidy. (1 mark)                 Up to 6 marks

The imposition of a subsidy will shift the supply curve to the right reducing price and increasing quantity. The price will fall and the consumer surplus will increase. The impact on each will be determined by factors such as the price elasticity of demand and the price elasticity of supply vaccinations.

","AS-Level, [8] marks"
825,"If the cost of the subsidy is to be paid from tax revenues, discuss whether the revenue should be raised through direct taxes or indirect taxes. [12]","b
For analysis considering the advantages (Up to 3 marks) and disadvantages (Up to 3 marks) of raising the revenue through direct taxes       (4 marks maximum) For analysis considering the advantages (Up to 3 marks) and disadvantages (Up to 3 marks) of raising the revenue through indirect taxes       (4 marks maximum) For evaluative comment with 1 mark reserved for a reasoned conclusion on which type of tax should be used.       (Up to 4 marks)

Direct taxes include income tax and corporation tax. They have the disadvantage that there is widespread tax evasion especially in less developed economies. On the other hand they can be used to promote equity. Indirect taxes are less easy to avoid, but they are regressive and are potentially inflationary. Very often high indirect taxes can lead to the development of black markets.


","AS-Level, [12] marks"
826,"Explain, with the aid of a diagram, the impact of a subsidy to domestic producers of a producton the export revenue from that product. [8]","a
Up to 2 marks for Knowledge and UnderstandingFor correct diagram:• Vertical axis correctly labelled: P/Price  Horizontal axis correctly labelled: Q/Quantity (1 mark)• Shift of the supply curve to the right and new equilibrium price and equilibrium quantity shown (1 mark)         2 marks maximumUp to 6 marks for Application• Explanation in relation to the impact of a subsidy to domestic producers of a product on the export revenue from that product.  (Up to 3 marks)• Explanation in relation to the effect of PED/PES on export revenue (Up to 3 marks)6 marks maximum
8
Both knowledge and understanding marks are for the diagramImpact of a subsidy in a market: • government payment of a subsidy to a firm will reduce the costs of production • this will encourage firms to supply more output at any given price • this will cause the supply curve to shift to the right • the equilibrium price in the market will be lower • the equilibrium quantity in the market will be higher • the effect on change in revenue will depend on PED/PES

","AS-Level, [8] marks"
827,Discuss whether supply-side policies are an effective way of correcting a deficit on an economy's current account of the balance of payments. [12],"b
Up to 8 marks for Analysis• The potential advantages of supply-side policies(Up to 4 marks)• The potential disadvantages of supply-side policies (Up to 4 marks)          8 marks maximumUp to 4 marks for EvaluationFor exercising some judgement on whether supply-side policies are an effective way of correcting a deficit on an economy's current account of the balance of paymentsReserve 1 mark for a conclusion         4 marks maximum
12
Supply-side policies could include: • increasing incentives to work by lowering income tax and unemployment benefits, but this will not necessarily lead to an increase in the supply of labour, especially if there are no jobs • increasing expenditure on education and training, but this will not necessarily lead to an increase in labour productivity or to an increase in the occupational mobility of labour, and its effect can take a long time to show • reducing the power of trade unions, but this will not necessarily lead to a reduction in the number of days lost through industrial action • encouraging the privatisation of firms, but this will not necessarily lead to an increase in the efficiency of firms and a way of correcting such a deficit • encouraging deregulation, e.g. through reducing the barriers of entry into an industry, but this will not necessarily lead to an increase in the number of firms entering an industry • providing more information about job vacancies in different parts of a country, but this will not necessarily lead to the correction of a current account deficit


","AS-Level, [12] marks"
828,Cross elasticity of demand for bread with respect to the price of rice is +1.4 while the cross elasticity of demand for bread with respect to the price of butter is –0.7.Explain why the cross elasticity of demand figures for bread differ. [8].,"a

Up to 2 marks for Knowledge and Understanding

What is meant by XED (1 mark)
The formula for XED (1 mark)

2 marks maximumUp to 6 marks for Application

Application to goods as substitutes/positive XED (1 mark)
Application to bread and rice as substitutes (1 mark)
Application to figure and strong relationship (1 mark)
Application to goods as complements/negative XED (1 mark)
Application to bread and butter as complements (1 mark)
Application to figure and weak relationship (1 mark)

6 marks maximum

8
Cross elasticity of demand: • the percentage/proportionate change in the quantity demanded of Good A divided by the percentage/proportionate change in the price of Good B

","AS-Level, [8] marks"
829,"....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
Explain the implications of price elasticity of demand and income elasticity of demand for business decisions. Discuss which measure is likely to be more useful to a business. [12].","b

Up to 8 marks for Analysis

Analysis of the usefulness of price elasticity of demand to a business (Up to 4 marks)
Analysis of the usefulness of income elasticity of demand to a business (Up to 4 marks)

8 marks maximumUp to 4 marks for EvaluationFor exercising some judgement on the relative extent to which price elasticity of demand and income elasticity of demand can be of use to a businessReserve 1 mark for a conclusion4 marks maximum



Potential usefulness of PED:

it can be helpful in giving a business an indication of the extent to which a change in price may affect revenue
this will show that to increase revenue, the price of an elastic good should be reduced and the price of an inelastic good should be increased
however, to be able to make appropriate calculations, a businessman will need to take into account the availability of substitutes, the width of the definition of the product, the amount spent on the product and the time period under consideration

Potential usefulness of YED:

it can be helpful in giving a business an indication of the extent to which a change in income may affect revenue
however, to be able to make appropriate calculations, a businessman will need to take into account whether a good is a normal or an inferior good, the proportion of income that is spent on a particular good, the width of the definition of the product and the level of economic development of the particular economy




","AS-Level, [12] marks"
830,"Explain, with the help of examples, how imperfect information among consumers affects their consumption of merit goods and demerit goods. [8]","a

Up to 2 marks for Knowledge and Understanding

Knowledge and understanding of imperfect information in relation to a merit good and a demerit good, with the help of suitable examples (Up to 2 marks)

2 marks maximumUp to 6 marks for Application

Application of the idea of imperfect information to the underconsumption of a merit good (Up to 3 marks)
Application of the idea of imperfect information to the overconsumption of a demerit good (Up to 3 marks)

6 marks maximum

8
Merit good:• a particular type of private good• it is rival and excludable• it has intrinsic benefits for an individual• examples include education or health careDemerit good:• a particular type of private good• it is rival and excludable• it is potentially damaging for an individual• examples include alcohol or tobaccoImperfect information and a merit good:• problem of information failure• merit goods are likely to be under-consumed and under-produced• consumers do not fully appreciate the value of a merit goodImperfect information and a demerit good:• problem of information failure• demerit goods are likely to be over consumed and over-produced• consumers do not fully understand the potential dangers of a demerit good

","AS-Level, [8] marks"
831,"Discuss why in most mixed economies, resources are mainly allocated using market forces and the price mechanism. [12]","b

Up to 8 marks for Analysis

Analysis of market forces/price mechanism element (Up to 4 marks)
Analysis of government intervention element (the use of the word‘mainly’ makes it clear that market forces/price mechanism is not the exclusive method of resource allocation) (Up to 4 marks)

8 marks maximumUp to 4 marks for EvaluationFor exercising some judgement on why in most mixed economies, resources are mainly, but not exclusively, allocated using market forces and the price mechanismReserve 1 mark for a conclusion4 marks maximum


Features of market forces:• existence of price mechanism• prices operate as signals to indicate consumer preferences• private sector ownership/decision-making with no or very little government interventionFeatures of government intervention:• existence of public sector• public goods and merit goods can be provided by the government


","AS-Level, [12] marks"
832,"Using diagrams, explain what might cause a market to be in disequilibrium, and how market forces would lead to equilibrium being restored. [8]","a
For knowledge and understanding: using a diagram to show equilibrium in a market (1 mark) with a clear statement of what is meant by ‘equilibrium’ (1 mark) 2 marks For application: that shows disequilibrium in a market and why it might arise. A shift in the demand or supply curve (1 mark) with a cause of this shift (1 mark) and the disequilibrium in terms of an excess demand or excess supply (1 mark) and the new equilibrium price and quantity indicated (1 mark) And application that explains how the new equilibrium is restored by market forces (Up to 2 marks)
8
A market is in equilibrium when, given present circumstances, there is no tendency for change. In other words demand and supply are equal with an equilibrium price and quantity. The market clears at this point. Disequilibrium will occur when either the demand curve or supply curve shifts. Change will have to come about to restore equilibrium. Equilibrium is restored through price changes or changes in demand and/or supply in the market. Accept maximum or minimum prices as a cause of disequilibrium.

","AS-Level, [8] marks"
833,Discuss whether the incidence of an indirect tax on a product always affects its consumers more than its producers. [12],"b
Analysis: Up to 4 marks for an explanation of the incidence of an indirect tax and how it affects consumers in terms of the price paid and the consumer surplus with due reference to the price elasticity of demand and supply. Up to 4 marks for an explanation of the incidence of an indirect tax and how it affects producers in terms of the price received and the producer surplus with due reference to the price elasticity of demand and supply. 8 marks max Up to 4 marks for evaluation. Reserve 1 mark for a clear conclusion of whether it is always consumers rather than producers who are most affected. Up to 4 marks maximum
12
Incidence refers to the relative impact of an indirect tax on consumers and producers. The extent of the incidence depends on the price elasticity of demand and supply of the product. The more inelastic the PED, the greater the burden of the tax on consumers and so on. Evaluative comment might consider those goods that are habit forming and often considered as demerit goods in terms of the impact of an indirect tax on incidence and consumption.


","AS-Level, [12] marks"
